spaLangNum	LanguageName	spaPhoneNum	spaDescription	spaAllophoneDescription	Notes	AllophoneNotes
		29	l-voiceless			
		30	r-approximant			
		31	h			
		51	i			
				[i-trema]	04 60	
				[yod]	61	
		52	i-long			
		53	u-trema			
		55	e		08	
		56	e-long		08	
		57	o-trema		31	(limited)
		59	epsilon		08	
		60	epsilon-long		08	
		61	o-open-trema		09	
		63	ash			
		64	ash-long			
		65	a			
		66	a-long			
		67	u			
		68	u-long			
		69	o			
		70	o-long			
		71	o-open			
				[o-open-nasalized]	62	
		72	o-open-long			
		74	w			
		75	w-voiceless			
575	Kaliai	01	p			
				[p-aspirated]	60	
		02	b-prenasalized		01 30	
		03	t			
				[t-aspirated]	60	
		04	d-prenasalized		01 30	
		05	k			
				[k-aspirated]	60	
		06	g-prenasalized		01 30 31	
		07	beta			
		08	s			
				[s-hacek]	61	(allo,free)
		09	g/gamma		32	
				[g]		(free)
		10	m			
		11	n			
		12	eng			
		13	l			
		14	r-flap		02	
		15	r-trill		03	
		16	glottal stop			(limited)
		17	h		04	
		51	i			
				[iota]	62	
		52	i-long			
		53	e-mid			
				[epsilon]	62	
		54	e-mid-long			
		55	a			
		56	a-long			
		57	u			
				[upsilon]	62	
		58	u-long			
		59	o-mid			
				[o-open]	62	
		60	o-mid-long			
		61	w-voiceless		34	
580	Adzera	01	p-aspirated		01	
		03	b			
		05	t-aspirated		01	
		07	d			
		09	k-aspirated		01	
		11	g			
		13	t/s-aspirated		01	
		15	d/z			
		17	f			
		18	s			
		19	m			
		20	n			
		21	eng			
		22	r-trill			
		23	glottal stop			
		25	h			
		51	i			
		52	i-long			
		53	a			
		54	a-long			
		55	i-trema			
		56	o			
		57	o-long			
		58	yod			
		59	yod-trema			
585	Maori	01	p		01	
				[p-aspirated]	60	
		02	t		01 02	
				[t-aspirated]	60	
				[t-palatalized]	61	(free)
		03	k		01	
				[k-prevelar-aspirated]	60 62	
		04	f			
				[phi]	30	(free)
		05	m			
		06	n		02	
		07	eng			
				[eng-prevelar]	63	
				[eng-palatalized]	64	(free)
		08	r-flap		02 03	
		09	h			
				[h-voice]	65	(free)
		51	i		04	
				[yod]	66	(free)
		52	i-long			
		53	epsilon		05	
				[e]	67	
				[epsilon-backed]	68	
		54	epsilon-long			
		55	u		08	
		56	u-long			
		57	o-mid		06	
		58	o-long			
		59	alpha-unrounded			
				[caret]	69	
				[alpha]	70	
		60	alpha-unrounded-long			
		61	w		07	
590	Hawaiian	01	p		01	
		02	k		01	
				[t]	02 30	(free)
		03	s		02 32	(limited)
				[t/s-hacek]	32	(free)
		04	m			
		05	n		02	
		06	l		02	
		07	glottal stop		31	
		08	h			
		51	i			
				[i-voiceless]	60	(free)
		52	i-long			
		53	epsilon			
				[epsilon-voiceless]	60	(free)
		54	e-long			
		55	a			
				[schwa]	61	
				[a-voiceless]	60	(free)
				[ash]	63	(free)
				[schwa-voiceless]	60 61	(free)
		56	a-long			
		57	u			
				[u-voiceless]	60	(free)
		58	u-long			
		59	o			
				[o-voiceless]	60	(free)
		60	o-long			
		61	w			
				[v]	62	(allo,free)
595	Western Desert	01	p			
				[b]	60	
		02	t-laminal		02	
				[d-laminal]	60	
				[t-interdental]	61	(free)
				[d-interdental]	60 61	(free)
		03	t			
				[d]	60	
		04	t-retroflex			
				[d-retroflex]	60	
		05	k			
				[g]	60	
		06	m			
		07	n-laminal		02	
				[n-interdental]	61	(free)
		08	n			
		09	n-retroflex			
		10	eng			
		11	l-laminal		02	
				[l-interdental]	61	(free)
		12	l			
		13	l-retroflex			
		14	r-flap		03	
				[r-trill]		(free)
		15	r-approximant-retroflex		04	
		51	i			
				[iota]	62	(allo,free)
				[e-mid]	05 63	(free)
				[i-retroflexed]	64	
		52	i-long			
		53	a			
				[a-front]	65	(free)
				[ash-dot]	06 66	(free)
				[ash-dot-retroflexed]	64	
				[alpha]	07 67	(free)
		54	a-long			
		55	upsilon			
				[u]	68	(free)
				[upsilon-retroflexed]	64	
				[o]	69	(free)
				[upsilon-voiceless]	70	(allo,limited)
		56	u-long			
		57	yod			
		58	w			
600	Nyangumata	01	p		01	
				[p-unreleased]	60	
				[b]	61	(allo,free)
				[beta]	61 62	(free)
				[p/phi]	63	(free)
				[phi]	62 63	(free)
		02	t		01	
				[d]	61	(allo,free)
		03	t-retroflex		01 02	
				[t-retroflex-unreleased]	60	
				[d-retroflex]	61	(allo,free)
		04	t-laminal		01 03 04	
				[t-laminal-unreleased]	60	
				[d-laminal]	61	(allo,free)
				[z-laminal]	61 62	(free)
				[s-laminal]	62	(free)
		05	k		01	
				[x]	62	(free)
				[g]	61	(allo,free)
				[gamma]	61 62	(free)
		06	m			
				[m-voiceless]	64	(free)
		07	n			
				[n-voiceless]	64	(free)
		08	n-retroflex		02	
				[n-retroflex-voiceless]	64	(free)
		09	n-laminal		03	
				[n-laminal-voiceless]	64	(free)
		10	eng			
				[eng-voiceless]	64	(free)
		11	l			
				[l-voiceless]	64	(free)
		12	l-retroflex		02	
				[l-retroflex-voiceless]	64	(free)
		13	l-laminal		03	
				[l-laminal-voiceless]	64	(free)
		14	r-trill			
				[r-flap]		(free)
				[r-trill-voiceless]	64	(free)
				[r-flap-voiceless]	64	(free)
		15	r-approximant-retroflex			
				[r-approximant-retroflex-voiceless]	64	(free)
		16	glottal stop			(transitional)
				[h]		(free)
		17	x-labialized		31	(surface)
		18	eng-labialized		32	(surface)
		51	iota		05	
				[i]	65	
				[i-retroflexed]	06 66	
				[iota-voiceless]	67	(free)
		52	i-long		07	
		53	a		05	
				[e]	68	
				[ash]	69	(free)
				[epsilon-dot]	70	
				[alpha]	08 71	(allo,free)
				[a-retroflexed]	06 66	
				[a-voiceless]	67	(free)
				[a/yod]	69	(free)
				[schwa]	70	(free)
		54	a-long		07	
		55	upsilon		05 08	
				[u-trema]	72	
				[u-retroflexed]	06 66	
				[o-open]	73	(free)
				[upsilon-voiceless]	76	(free)
				[o-open-voiceless]	67 73	(free)
				[u/yod]	72	(free)
		56	u-long		07 08	
		57	yod			
				[yod-voiceless]	64	(free)
		58	w			
				[w-voiceless]	64	(free)
		59	e-long		33	(surface)
605	Kunjen	01	p			
				[b]	60	
		02	p-aspirated			
		03	t-laminal		01	
				[d-laminal]	60	
		04	t-laminal-aspirated		01	
		05	t			
				[d]	60	
				[d-retroflex]	02 60 61	
		06	t-aspirated			
				[t-retroflex-aspirated]	61	
		07	c			
				[j]	60	
		08	c-aspirated			
		09	k			
				[g]	60	
		10	k-aspirated			
		11	f			
				[phi]	62	(free)
				[v]	62	(free)
				[beta]	62	(free)
		12	eth		30	(limited)
		13	gamma		03	
		14	m			
		15	n-laminal		01	
		16	n			
		17	n-palatal			
		18	eng			
		19	l			
		20	r-trill-voiceless			
				[r-trill]	63	
		21	r-approximant-retroflex			
				[r-approximant-retroflex-voiceless]	64	(free)
		51	iota		04	
				[iota-retroflexed]	65	
				[iota-nasalized]	05 66	
				[i]	67	(free)
		52	epsilon		04	
				[epsilon-retroflexed]	65	
				[epsilon-nasalized]	05 66	
		53	a		04	
				[a-retroflexed]	65	
				[a-nasalized]	05 66	
				[epsilon-dot]	06 07	(free)
				[ash]	07 69	
		54	upsilon		04	
				[upsilon-retroflexed]	65	
				[upsilon-nasalized]	05 66	
		55	o-mid		04	
				[o-mid-retroflexed]	65	
				[o-mid-nasalized]	05 66	
				[o-open]	07 	(free)
		56	yod			
		57	w			
610	Maranungku	01	p			
				[b]	60	
		02	p-long		01 30	
		03	t			
				[theta]	61	(free)
				[d]	62	
				[eth]	63	(free)
		04	t-long		01 30	
		05	k			
				[g]	64	
		06	k-long		01 30	
		07	t/s-hacek		02	
				[d/z-hacek]	65	
		08	t/s-hacek-long		01 30	
		09	m			
		10	m-long		30	
		11	n			
		12	n-long		30	
		13	n-palatal			
		14	eng			
		15	l			
		16	r-approximant		03	
		17	r-trill		04 31	
		51	i			
				[e]	66	
				[iota-bar]	67	
				[epsilon]	68	(free)
				*/ash/		
		53	ash			
				*[epsilon]		
		54	schwa		05 31	
		55	a			
				[alpha-unrounded]	69	
		56	upsilon		31	
				[u]	70	
				[o]	71	
				[o-open-long]	72	
		57	yod			
		58	w			
615	Maung	01	p		01	
				[b]	60	(allo,free)
		02	t-laminal		01 02	
				[d-laminal]	60	(allo,free)
		03	t		01	
				[d]	60	(allo,free)
				[t-interdental]	03 61	(free)
		04	t-retroflex		01	
				[d-retroflex]	60	(allo,free)
		05	k		01	
				*[w]		
				[g]	62	
		06	gamma		30	
		07	m			
		08	n-laminal		02	
		09	n			
		10	n-retroflex			
		11	eng			
				[eng-prevelar]	63	
		12	l			
		13	l-retroflex			
		14	r-trill		04	
		15	r-flap-retroflex		31	
		16	r-approximant-retroflex		05	
		17	glottal stop		32	(limited)
		51	i			
				[i-retroflexed]	64	
				[iota]	65	
		52	epsilon			
				[epsilon-retroflexed]	64	
		53	a			
				[a-retroflexed]	64	
				[a-front]	06 66	
				[a-long]	67	(free)
				[schwa]	68	
		54	u			
				[u-retroflexed]	64	
				[upsilon]	65	
		55	o-open			
				[o-open-retroflexed]	64	
		56	yod			
		57	w		69	(tag(-),free)
				*/k/		
620	Nunggubuyu	01	p			
				[b]	60	(free)
				[p-aspirated]	61	(free)
		02	t-interdental			
		03	t			
				[d]	60	(free)
				[t-aspirated]	61	(free)
		04	t-retroflex			
		05	c-palatoalveolar		01	
				[j-palatoalveolar]	60	(free)
				[c-palatoalveolar-aspirated]	61	(free)
		06	k			
				[g]	60	(free)
				[k-aspirated]	61	(free)
		07	m			
		08	n-interdental		30	(limited)
		09	n			
		10	n-retroflex			
		11	n-palatoalveolar		01	
		12	eng			
		13	l-interdental			
		14	l			
		15	l-retroflex			
		16	r-trill			
				[r-flap]	62	
		17	r-approximant-retroflex		02	
		51	iota			
				[e-retroflexed]	63	
				[iota-bar]		(free)
		52	ash		31	(limited)
		53	ash-dot			
				[ash-dot/yod]	64	
		54	a-long		03	
				[a-long/yod]	64	
		55	iota-trema		04	
				[upsilon]	65	
				[e-trema]		(free)
		56	yod			
		57	w			
625	Alawa	01	p			
				[b]	60	(allo,free)
		02	b-prenasalized		30 31 32	
		03	t			
				*[t-retroflex]		
				[d]	60	(allo,free)
		04	d-prenasalized		30 31 32	
				*[d-retroflex-prenasalized]		
		05	t-retroflex		33 61	(tag(+),allo)
				*/t/		
				[d-retroflex]	60	(allo,free)
		06	d-retroflex-prenasalized		30 31 32 33 61	(tag(+),allo)
				*/d-prenasalized/		
		07	c-palatoalveolar		02	
				[j-palatoalveolar]	60	(allo,free)
		08	j-palatoalveolar-prenasalized		02 30 31 32	
		09	k			
				[g]	60	
				[c]	62	
				[j]	60 62	
		10	g-prenasalized		30 31 32	
				[j-prenasalized]	62	
		11	m			
		12	n			
				*[n-retroflex]		
				[r-flap/n]	63	
		13	n-retroflex		33 61	(tag(-),allo)
				*/n/		
		14	n-palatoalveolar		02	
		15	eng			
				[n-palatal]	62	
		16	l			
				*[l-retroflex]		
				[r-flap/l]	63	(free,allo)
		17	l-retroflex		33 61	(tag(-),allo)
				*/l/		
		18	l-palatoalveolar		02	
		19	r-flap			
				[r-trill]	64	
				[r-flap-fricative]	65	
				[r-flap-voiceless]	66	
		20	r-approximant		03	
		21	glottal stop		34	(limited)
		51	iota		06	
		52	e-mid		35	
		53	e-mid-long		07 36	(limited)
		54	a			
				[ash]	67	
				[alpha-unrounded]	68	(free)
		55	iota-trema		06 09	
				[e-mid-trema]	09 69	
		56	yod			
		57	w		09	
630	Wik-Munkan	01	p			
				[b]	30 60	(allo,free)
		02	t			
				[d]	30 60	(allo,free)
		03	c-palatoalveolar			
				[j-palatoalveolar]	30 60	(allo,free)
		04	k			
				[g]	30 60	(allo,free)
		05	m			
		06	n			
		07	n-palatoalveolar			
		08	eng			
		09	l			
		10	r-trill			
				[r-trill-voiceless]	61	
				[r-flap]	62	
		11	glottal stop			
		50	i			
		51	i-long		01	
		52	epsilon			
		53	epsilon-long		01	
		54	a			
		55	a-long		01	
		56	upsilon			
		57	upsilon-long		01	
		58	o-open			
				[alpha]	02	(free)
		59	o-open-long		01	
				[alpha-long]	02	(free)
		60	yod			
		61	w			
635	Sentani	01	p			
				[b]	60	(free)
		02	t		02	
				[d]	31 60	(free,neutral,allo)
				*/l-flap/		
				[t-palatalized]	61	
		03	k			
				[c]	62	(free)
				[q]	62	(free)
				[x]	62	(free)
		04	f			
				[phi]		(free)
		05	m			
		06	n		02	
				[n-palatal]	64	
				[eng]	65	
		07	l-flap		02 03 31	
				*[d]		
		08	h			
				[s]	04 66	(allo,free)
		51	i		05	
				[i/yod]	67	(free)
		52	e		05	
		53	epsilon		05	
		54	schwa		05	
				[o-mid-trema]	68	
		55	a-front		05 07	
		56	u		05	
		57	o-open		05	
				[o]	69	
		58	yod			
				[d/z-hacek]	08 70	
		59	w		09	
640	Washkuk	01	b-prenasalized			
				[b]	60	(free)
		02	b-prenasalized-labialized			
		03	t			
				[d]	61	(free)
		04	d-prenasalized			
		05	k			
				[g]	61	(free)
		06	k-labialized			
		07	g-prenasalized			
		08	g-prenasalized-labialized			
		09	t/s-hacek			
				[d/z-hacek]	62	(free)
		10	d/z-hacek-prenasalized			
		11	phi			
				[p]	63	(free)
		12	phi-labialized			
				[p-labialized]	64	(free,allo)
		13	beta			
		14	s			
		15	s-hacek			
		16	m			
		17	m-labialized			
		18	n			
		19	n-palatal			
		20	r-flap			
		21	glottal stop		30	(transitional)
		22	h			
		51	i			
				[u-trema]	65	
				[i-voiceless]	66	(free)
		52	e			
				[iota]	67	
				[iota-voiceless]	66 67	(free,allo)
		53	epsilon			
				[ash]	69	
		54	i-bar			
				[u-dot]	70	
				[i-bar-voiceless]	66	(free)
		55	a			
				[epsilon-dot]	72	
				[a-voiceless]	66	(free)
		56	u			
				[u-voiceless]	66	(free)
		57	o-mid			
				[o-open]	75	
				[o-mid-voiceless]	66	(free)
		58	yod		01	
				[l]	02 77	(free,allo)
		59	w		01	
645	Asmat	01	p			
				[p-unreleased]	60	
				[phi]	30	(free)
				[p-nasal-release]	60	(free)
		02	p-labialized		31	(limited)
		03	t			
				[t-unreleased]	60	
				[t-nasal-release]	60	(free)
		04	k			
				[k-unreleased]	60	
				[x]	32	(free)
				[k-nasal-release]	60	(free)
		05	t/s-hacek			
				[t-palatalized]	61	(free)
		06	f			
		07	s			
				[s-lax]	02 62	(free)
		08	m			
				[b]	03 63	
				[b-prenasalized]	64	(free)
		10	n			
				[d]	03 63	
				[d-prenasalized]	64	(free)
		13	r-flap		36	
				[r-trill]	37	(limited,free)
		16	s-hacek		40	(limited)
		17	theta		40	(limited)
		18	j-fricative			
				[d/z-hacek]	65	(free)
				[yod]	65	(free)
		51	i			
				[iota]	67	(free)
				[u-trema]	66	(free)
		52	e			
				[epsilon]	41 42 68	(allo,free)
				[o-trema]	66	
		54	a			
				[a-front]	69	
				[ash]	70	(free)
				[schwa]	43	(neutral,allo)
		55	u			
				[u-dot]	71	(free)
		56	o-open			
				[o]	72	(allo,free)
				[e-trema]	73	(free)
		58	w			
650	Telefol	01	p		01 30 31	(loan,allo)
				*/f/		
		02	b			
				*[w]		
				[beta]	60	
				[b-implosive]	61	(free)
		03	t		01	
		04	d		32	(allo,loan,restricted)
				*/l/		
				[d-implosive]	61	(free)
				*/l/		
		05	k		01 03	
				*[k-labialized]		
				[gamma]	62	
				[k-unreleased]	63	
		06	k-labialized		01 03 33 64	(tag(-),allo)
				*/k/		
		07	g		30 34	(loan,surface)
		08	f		31	
				*[p]		
				[phi]		(free)
				[p/phi]	65	(free)
		09	s		36	
		10	m			
				[b/m]	66	(free)
		11	n			
				[d/n]	66	(free)
		12	eng		03 33	
				[g/eng]	66	(free)
		13	l		37	
				*[d]		
				*[d-implosive]		
				[r-flap]	67	
				[l-retroflex]	68	
				[l-fricative]	04 69	
				[l-flap]	70	
		14	glottal stop		38	(limited)
		15	h		38	(limited)
		51	i			
				*[epsilon]		
				[iota]	71	(free,allo)
		52	i-long		39	
		53	epsilon-long		39	
				[epsilon]	72	
				*/i/		
		54	a			
				[ash-dot]	73	(free)
				[epsilon-dot]	74	
				[schwa]	76	(free,neutral)
		55	a-long		39	
		56	u			
				*[o-open]		
				[upsilon]	71	(free,allo)
				[u-dot]	75	
		57	u-long		39	
				[u-dot-long]	75	
		58	o-open-long		39	
				[o-open]	72	
				*/u/		
		59	yod		40	
		60	w		33 60	(tag(-),free)
				*/b/		
		81	high		77	(tag(+),allo)
				*[mid]		
				*[lower-mid]		
				*/mid/		
				[higher-mid]	78	
				*/mid/		
				[lower-mid-rising]	79	
		82	mid		80	(tag(+),allo)
				*[higher-mid]		
				*[high]		
				*/high/		
				[high-falling]	81	
				[mid-falling]	82	
				[lower-mid-falling]	83	
				[lower-mid]	84	
				*/high/		
655	Gadsup	01	p		01	
				[phi]	60	
				[p-aspirated]	61	(free)
		02	t-laminal		01 02	
				[s]	60	
				[t-laminal-aspirated]	61	(free)
				[t/s]	62	(free)
		03	d			
				[r-flap]	63	
		04	k		01	
				[x]	60	
				[k-aspirated]	61	(free)
		05	beta		03	
				[b]	64	(allo,free)
				[beta-approximant]		(free)
		06	m			
		07	n			
				[eng]	66	
		08	glottal stop			
		51	i			
				[iota]	67	(allo,free)
				[i-voiceless]	68	(free)
		52	e-long		04	
				[epsilon-long]	69	
		53	a-front-long		04	
		54	epsilon-dot		05	
				[a]	70	
		55	u		06	
				[upsilon]	71	
		56	o-long		04 06	
		57	yod		07	
				[d/z-hacek]	72	
				[j-fricative]	73	(free)
		81	high			
		82	low		75	(tag(-),allo)
				*/low-rising/		
		83	low-rising		08 33	
				*[low]		
				[mid-rising]		
				[mid]	75	(free)
		84	mid-falling		08 33	
				[high-falling]	76	
660	Auyana	01	p		01	
				[beta]	60	
		03	t		01 02	
				[s]	61	(free,loan)
		05	k		01	
				[gamma]	60	
		07	m			
		09	m-long		30 31	(surface)
		10	n			
		12	n-long		30 31	(surface)
		13	r-flap		31	
				[l-flap]	62	
		14	glottal stop		32	
		51	i		03	
				[iota]	63 64	(free)
				*/e/		
		52	e		03	
				*[iota]		
				[epsilon]	65 66	(free)
				*/schwa/		
		53	schwa		03	
				*[epsilon]		
		54	a-long			
		55	u		03 04	
		56	o-mid		03 04	
		57	yod		05	
		59	w		06	
		81	high		07	
		82	low		07	
		83	falling		08 33	(surface)
665	Kunimaipa	01	p			
				[phi]	60	(allo,free)
				*/beta-approximant/		
				[p-aspirated-weak]	61	(free)
				[p/phi]	62	(free)
		02	b		01 63	(tag(+),allo)
				*/beta-approximant/		
				[beta]	64	(free)
				[b/beta]	64	(free)
		03	t			
				[t-aspirated-weak]	61	(free)
				[t/theta]	65	(free)
		04	d-dental		02	
				[eth]	66	(free)
				[d/eth]	66	(free)
				[t-dental]	67	(free)
		05	k		68	(tag(+),free)
				*/g/		
				[x]	69	
				[k-aspirated-weak]	61	(free)
				[k/x]	70	(free)
				[q]	71	
				[x-uvular]	72	
				*/q-voice/		
				[q-aspirated-weak]	73	(free)
				[q/x-uvular]	74	(free)
		06	g		03	
				*[k]		
				[gamma]	75	(free)
				[g/gamma]	75	(free)
		07	q-voice		03 04	
				*[x-uvular]		
				[q-voice/gamma-uvular]	76	(free)
				[gamma-uvular]	77	
		08	beta-approximant			
				*[phi]		
				*[b]		
				[w]	05 78	
		09	s		06 79	(tag(+),free)
				*/z/		
				[t/s]	80	(free)
				[s-palatalized]	07 81	
		10	z		06	
				*[s]		
				[yod]	82	(free)
				[z-palatalized]	08 83	
		11	m			
		12	n			
		13	eng			
		14	l			
				[d/l]	84	
				[l-long]	85	(free)
				[l-voiceless]	86	(free)
		15	r-flap-retroflex		09	
				[r-trill-retroflex]	87	
				[r-flap-retroflex-voiceless]	88	
				[t-retroflex/r-flap-retroflex]	89	(free)
		51	i		10	
				[iota]	90	
		52	e		11	
				[e-dot]	91	
		53	a		12	
				[schwa]	92	
				[alpha-unrounded]	93	
		54	u		10	
				*[upsilon]		
		55	upsilon		10 94	(tag(+),allo)
				*/u/		
				[o]	95	
670	Selepet	01	p-aspirated			
				[p-unreleased]	60	
				[phi]	61	(free)
				[f]	62	(free)
		02	b-prenasalized		01	
				[b]	63	(allo,free)
				[p]	64	(allo,free)
		03	t-aspirated			
				[t-unreleased]	60	
		04	d-prenasalized		01	
				[d]	63	(allo,free)
				[t]	64	(allo,free)
		05	k-aspirated			
				[k-unreleased]	60	
		06	g-prenasalized		01	
				[g]	63	(allo,free)
				[k]	64	(allo,free)
		07	s		69	(tag(-),free)
				*/yod/		
		08	m			
		09	n			
		10	eng			
				[eng-prevelar]	70	
				[n-palatoalveolar]	71	(free)
		11	l			
		12	r-flap			
				[r-trill]	72	(free)
		13	h			
				[gamma]	73	
		51	i		02	
				[iota]	74	
		52	epsilon		02	
				[e]	75	(allo,free)
		53	a		02	
				[a-backed]	76	
		54	u		02	
				[u-fronted]	77	
		55	o		02	
				[o-fronted]	78	
		56	ash-trema		02 03	
				[alpha-unrounded]	79	
		57	w			
				[beta]	80	
		58	yod		30	
				*[s]		
				[z-palatalized]	81	(allo,free)
				[s-palatalized]	82	(free)
675	Nasioi	01	p			
		02	b			
				[beta]	60	
		03	t			
				[t/s]	61	
				[s]	62	
		04	r-flap			
				[l-flap]	63	
				[d]	63	(free)
				[r-trill]	63	
		05	k			
		06	m			
		07	n		32	
				[eng]	66	
				[n-palatal]	67	
		08	glottal stop			
		51	i			
		52	i-long			
		53	epsilon			
		54	epsilon-long			
		55	a			
		56	a-long			
		57	u			
		58	u-long			
		59	o			
		60	o-long			
680	Aleut	01	p			(loan)
		02	t			
				[t-palatalized]	60	
		03	k			
		04	q			
				[q/x-uvular]		(free)
		05	t/s-hacek			
		06	beta		01	(loan)
		07	f			(loan)
		08	v			(loan)
		09	eth			
				[eth-palatalized]	60	
		10	s-hacek			
		11	z-hacek			
		12	r-trill		02	(loan)
		13	x			
		14	gamma			
		15	x-uvular			
		16	gamma-uvular			
		17	m			
		18	m-voiceless			
		19	n			
				[n-palatalized]	60	
		20	n-voiceless			
				[n-voiceless-palatalized]	60	
		21	eng			
		22	eng-voiceless			
		23	l			
				[l-palatalized]	60	
		24	l-voiceless			
				[l-voiceless-palatalized]	60	
		25	glottal stop		30	(transitional)
		26	h			
		51	i			
		52	i-long			
		53	a			
		54	a-long			
		55	u			
		56	u-long			
		57	yod			
		58	yod-voiceless			
		59	w			
		60	w-voiceless			
685	Inuit	01	p		01 02	
		02	p-long		01	
		03	t		01 02 03	
				[t/s]	60	
		04	t-long		01	
				*[t-long/s]		
		05	k		01 02 04	
		06	k-long		01	
		07	q		01	
				[x-uvular]	61	(free)
		08	q-long		01 30	
		09	t-long/s		31	(tag(-),allo)
				*/t-long/		
		10	beta		05	
				[v]		(free)
				[w]	62	(free,transitional)
		11	f-long		06 33	
				[phi-long]		(free)
		12	s-laminal		07 34	
				[s]	63	
		13	s-laminal-long		08 33	
		14	s-hacek		35	(limited)
		15	s-hacek-long		33 35	(limited)
		16	j-fricative			
				[yod]	64	(free,transitional)
		17	gamma		09	
		18	x-long		10 33	
		19	gamma-uvular		11 36	
		20	x-uvular-long		33	
		21	m			
		22	m-long			
		23	n		13	
		24	n-long		13	
		25	eng			
		26	eng-long			
		27	n-uvular		38	(limited)
		28	n-uvular-long		37	(surface)
		29	l		13 14	
		30	l-fricative-long		15	
		31	glottal stop		39	(limited,transitional)
		32	h		40	(limited)
		51	i			
				[e]	16 65	
				[schwa-uvularized]	66	
				[i-voiceless]	67	(free)
		52	iota-long		17	
				[schwa-long-uvularized]	18 66	
		53	a		19	
				[alpha-unrounded-uvularized]	66	
		54	a-long			
				[alpha-unrounded-long-uvularized]	18 66	
		55	u		21	
				[o]	65	
				[o-open-uvularized]	66	
				[u-voiceless]	67	(free)
		56	upsilon-long		17	
				[o-open-long-uvularized]	18 66	
690	Chipewyan	01	p		01	
		02	t/x		02	
		03	t-ejective		03	
		04	t		01	
		05	k/x		02 30	
		06	k-ejective		03	
		07	k/x-labialized		02 31	
		08	k-ejective-labialized		03 31	
		09	k		01 04	
		10	k-labialized		01 31	
		11	t/theta-aspirated		02	
		12	t/theta-ejective		03	
		13	t/theta		01 05	
		14	t/s-aspirated		02	
		15	t/s-ejective		03	
		16	t/s		01 05	
		17	t/l-fricative-aspirated		02 06	
		18	t/l-fricative-ejective		03 06	
		19	t/l-fricative		01 05 06	
		20	t/s-hacek-aspirated		02 08	
		21	t/s-hacek-ejective		03 08	
		22	t/s-hacek		01 05	
		23	theta			
		24	eth			
		25	s			
		26	z			
		27	s-hacek		08	
		28	x			
		29	x-labialized		31	
		30	gamma		30	
		31	gamma-labialized		31	
				[w]	11	(free)
		32	m		32	(limited)
		33	n			
		34	l		06	
		35	l-voiceless		06	
		36	r-trill		12 13	
		37	glottal stop		30	
		38	h		30	
				[w-voiceless]	14 60	
		51	i			
		52	i-long		15	
		53	i-nasalized			
		54	i-long-nasalized			
		55	e			
				[schwa]	20 61	(allo,free)
		56	epsilon		33	
		57	epsilon-long		15 33	
		58	epsilon-nasalized			
		59	epsilon-long-nasalized		15	
		60	a			
		61	a-long		15	
		62	a-nasalized			
		63	a-long-nasalized		15	
		64	u			
		65	u-long		15 16	
		66	u-nasalized			
		67	u-long-nasalized		15	
		68	o			
		69	yod		17 18	
				[j-fricative]	19 62	
		81	high			
		82	low			
		83	low-rising		36	(surface)
		84	high-falling		36	(surface)
695	Chasta Costa	01	p		01 30	
		02	t-aspirated		02	
		03	t-ejective		02	
		04	t		02	
		05	k-ejective			
		06	k			
		07	k-ejective-labialized			
		08	k-labialized			
		10	t/s-ejective		03	
		11	t/s-retroflex-ejective			
		12	t/s-hacek-aspirated			
		13	t/s-hacek-ejective			
		14	t/s-hacek			
		15	s			
		16	s-retroflex			
		17	s-hacek			
		18	x			
		19	gamma			
		20	x-labialized			
		22	m			
		23	m-glottalized		04 31	
				[m-postglottalized]	60	
		24	n		02	
				[n-syllabic]	61	
		25	n-glottalized		02 04 31	
		26	l		02	
		27	l-fricative		02 06	
				[t/l-fricative]	62	
		28	glottal stop			
		29	h			
		51	i			
		52	i-nasalized			
		53	e-mid			
		54	schwa			
				[i-bar]	63	
				[upsilon]	64	
				[schwa-nasalized]	65	
		55	a			
				[o-open]	66	
		56	a-nasalized			
		57	u			
				[o]		(free)
		58	u-nasalized			
		59	yod			
				[yod-nasalized]	68	
		60	w		32	
		61	i-long			
		62	i-long-nasalized			
		63	e-mid-long			
		64	a-long			
		65	a-long-nasalized			
		66	u-long			
		67	u-long-nasalized			
700	Hupa	01	p		30	(limited)
		02	t			
				[t-aspirated-weak]	60	
		03	t-aspirated		02	
				[t/x-uvular]	61	
		04	t-ejective		03	
		05	c		04 05	
				[c-aspirated-weak]	60	
		06	c-aspirated		04	
		07	c-ejective		03 04 05	
		08	k		06 32	(limited)
				[k-aspirated-weak]	60	
		09	k-aspirated		06 32	(limited)
		10	k-ejective		03 06 32	(limited)
		11	q		05 07 08	
				[q-aspirated-weak]	60	
		12	q-aspirated		33	(loan)
		13	q-ejective		03 05 07 08	
		14	t/s-laminal			
				[t/s-laminal-aspirated-weak]	09 60	
		15	t/s-laminal-aspirated		10	
		16	t/s-laminal-ejective		11	
				[t/s-laminal-ejective-syllabic]	12 34 62	
		17	t/l-fricative-ejective		11	
				[t/l-fricative-ejective-syllabic]	12 34 62	
		18	t/s-hacek		13	
				[t/s-hacek-aspirated-weak]	09 60	
		19	t/s-hacek-aspirated-labialized		13 14	
		20	t/s-hacek-ejective		11 13	
				[t/s-hacek-ejective-syllabic]	12 34 62	
		21	t/s-hacek-ejective-labialized		11 13 35	(limited)
				[t/s-hacek-ejective-labialized-syllabic]	12 34 62	
		22	s-laminal			
				*[s-hacek]		
