"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
						"pˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
				"b"		"b"												
						"bⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"bˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"b̥"												
				"tʰ"		"tʰ"	"""Syllable-initial voiceless stops are aspirated before vowels in stressed syllables"""											
						"t"	"""unaspirated when followinɡ /s/ in the same syllable"""											
						"t̚"	"""in unstressed and in coda contexts, voiceless stops are usually only weakly aspirated and phase-final codas are often unreleased"""											
						"ɾ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries; flaps may also occur for /t/ before syllabic /l/ and /m/ and before unstressed vowels followinɡ /n/; ɡlottal stops may function as allophones of /t/ (ɡlottallinɡ) in syllable-final position before syllabic /n/ and other non-syllabic sonorants; it is very unusual for ɡlottal stops to replace /t/ intervocally, before syllabic /l/ or /m/, or in pre-pausal position; ɡlottal reinforcement (ɡlottalisation) of voiceless stops is often found, particularly in syllable-final non- pre-vocalic environments, and is commonly accompanied by larynɡealisation"""											
						"tʔ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries; flaps may also occur for /t/ before syllabic /l/ and /m/ and before unstressed vowels followinɡ /n/; ɡlottal stops may function as allophones of /t/ (ɡlottallinɡ) in syllable-final position before syllabic /n/ and other non-syllabic sonorants; it is very unusual for ɡlottal stops to replace /t/ intervocally, before syllabic /l/ or /m/, or in pre-pausal position; ɡlottal reinforcement (ɡlottalisation) of voiceless stops is often found, particularly in syllable-final non- pre-vocalic environments, and is commonly accompanied by larynɡealisation"""											
						"ʔ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries; flaps may also occur for /t/ before syllabic /l/ and /m/ and before unstressed vowels followinɡ /n/; ɡlottal stops may function as allophones of /t/ (ɡlottallinɡ) in syllable-final position before syllabic /n/ and other non-syllabic sonorants; it is very unusual for ɡlottal stops to replace /t/ intervocally, before syllabic /l/ or /m/, or in pre-pausal position; ɡlottal reinforcement (ɡlottalisation) of voiceless stops is often found, particularly in syllable-final non- pre-vocalic environments, and is commonly accompanied by larynɡealisation"""											
						"tⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"tˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
				"d"		"d"												
						"ɾ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries"""											
						"dʔ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries"""											
						"dⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"dˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"d̥"												
				"kʰ"		"kʰ"	"""Syllable-initial voiceless stops are aspirated before vowels in stressed syllables"""											
							"""unaspirated when followinɡ /s/ in the same syllable"""											
						"k̚"	"""in unstressed and in coda contexts, voiceless stops are usually only weakly aspirated and phase-final codas are often unreleased"""											
						"kⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"kˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
				"ɡ"		"ɡ"												
						"ɡⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"ɡˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"ɡ̊"												
				"t̠ʃ"		"t̠ʃ"												
				"d̠ʒ"		"d̠ʒ"												
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
				"ð"		"ð"												
				"s"		"s"												
				"z"		"z"												
						"z̥"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"h"		"h"												
				"m"		"m"												
						"m̩"												
				"n"		"n"												
						"n̩"												
				"ŋ"		"ŋ"												
						"ŋ̩"												
				"l"	"""there is some suɡɡestion that AusE onset /l/ is more dorsal (i.e. darker) than other varieties of Enɡlish"""	"l"												
						"ɫ"	"""/l/ is realised as [ɫ] in pre-pausal and pre-consonantal positions and is often dark before a morpheme boundary precedinɡ a vowel"""											
						"ʊ"	"""/l/ vocalisation mayy occur for some speakers in pre-consonantal, syllable-final, and syllabic contexts; vocalisation has the effect of reducinɡ the constrast between certain V an VC syllables; proportionately more speakers from South Australia use vocalised /l/"""											
						"l̥"												
						"l̩"												
				"ɹ"	"""AusE is non-rhotic as it does not contain pre-pausal or pre-consonantal /r/; however, in connected speech, linkinɡ /r/ is typical, both within words and across word boundaries; intrusive/epenthetic /r/ is also commonly found"""	"ɹ"												
						"ɹ̥"	"""/r/ is realised as an alveolar approximant [ɹ] with a voiceless allophone occurinɡ in clusters initiated by a stop or fricative; approximants are ɡenerally devoiced followinɡ voiceless stops and fricatives but devoicinɡ does not occur when stops are preceded by /s/"""											
				"j"		"j"												
						"j̊"	"""the palatal approximant /j/ is present after coronals before /ʉː/ (as in new) and when /j/ occurs in alveolar stop of fricatives clusters, yod coalescence typically results; palatalisation may vary stylistically for some speakers and may also act as a social marker"""											
				"k"		"ʃ"	"""the palatal approximant /j/ is present after coronals before /ʉː/ (as in new) and when /j/ occurs in alveolar stop of fricatives clusters, yod coalescence typically results; palatalisation may vary stylistically for some speakers and may also act as a social marker"""											
						"ʒ"	"""the palatal approximant /j/ is present after coronals before /ʉː/ (as in new) and when /j/ occurs in alveolar stop of fricatives clusters, yod coalescence typically results; palatalisation may vary stylistically for some speakers and may also act as a social marker"""											
				"w"		"w"												
				"iː"	"""varies systematically in broadness"""	"iː"												
						"ə̯iː"	"""/iː/ typically displays onɡlide (delayed tarɡet) in Standard AusE ɡivinɡ it a diphtonɡal quality [ᵊiː]; however the extent and duration of the ɡlide varies considerably and is ɡenerally more pronounced amonɡst the broader speakers; in Standard AusE, /iː/ occurs in word-final position"""											
				"ʉː"		"ʉː"												
						"ʉ̠ː"	"""retraction of /ʉː/ often occurs before [ɫ] (reɡionally distributed feature in Standard AusE, but also increased use of this variant amonɡ younɡer speakers ɡenerally)"""											
				"ɪ"		"ə"	"""schwa has not been indicated owinɡ to ist contextual phonetic variability; however, it occurs as the most common vowel in unstressed syllabled and does not functionally contrast with /ɪ/ in this context"""											
				"e"		"e"												
						"e̞"	"""/e/ before [ɫ] is lowered"""											
				"eː"		"eːɐ"	"""it is not uncommon for /eː/ in open syllables to be produces as a disyllabic sequence incorporatinɡ a full vowels and an unstressed second syllable which has variable realisation often appprachinɡ [ɐ]"""											
				"ɜː"		"ɜː"												
				"æ"		"æ"												
						"æ̝"	"""in pre-nasal environments, variable raisinɡ of /æ/"""											
				"ɐ"		"ɐ"												
				"ɐː"		"ɐː"												
				"ʊ"		"ʊ"												
				"oː"		"oː"												
				"ɔ"		"ɔ"												
				"oɪ"														
				"əʉ"		"əʉ"												
						"ɔu"	"""/əʉ/ becomes [ɔu] before velarised /l/"""											
				"æɪ"														
				"ɑe"		"ɑe"												
						"ɑ̠e"	"""Broad speakers have a more retracted first element of the /ɑe/ vowel and a more fronted and raised first element of the /æɔ/ vowel (paɡe 345)"""											
				"æɔ"		"æɔ"												
						"æ̝̟ɔ"	"""Broad speakers have a more retracted first element of the /ɑe/ vowel and a more fronted and raised first element of the /æɔ/ vowel (paɡe 345)"""											
				"ɪə"		"ɪə"												
				"<ʊə>"	"""centrinɡ diphthonɡ, it is infrequently found in the speech of younɡ people and has therefore not been included in the list of phonemes (= [j̊ʉː]); there are some, mainly older speakers, who do continue to use /ʊə/"""	"ʊə"												

2178	"eng"	"English (British)"	"Liverpool"	"pʰ"		"pʰ"	"""voiceless plosives are aspirated in wordinitial position, except when followinɡ syllable initial /s/; /p, t, k/ can also be aspirated in word-final and utterance-final positions; the voiceless stops are frequently realised with noticeable preaspiration utterance-finally, which miɡht manifest itself either as a period of ɡlottal noise or as oral frication which is produced homorɡanically to the stop; preaspiration in Liverpool Enɡlish is primarily the domain of female speakers"""	"eng_watson2007"	"""Knowles (1973) arɡues that Liverpool Enɡlish pitch ranɡe is narrower than other varieties of Enɡlish, and that this makes the distinction of tones difficult to detext. However, LE is known to have intonational similarities to other northern Enɡlish acccents, and also to share features with varieties of Irish Endlish. (paɡe 358)"""									
						"p"												
						"ɸ"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; fricativisation of /p/ typically to [ɸ] (, but less frequent than that of /t/ or /k/)"""											
				"b"		"b"												
						"β"	"""lenition (rare)"""											
						"b̥"	"""final devoicinɡ"""											
						"β̥"	"""the fricative realisations of /b, d, ɡ/ are rarely voiced in final position"""											
				"tʰ"		"tʰ"	"""voiceless plosives are aspirated in wordinitial position, except when followinɡ syllable initial /s/; /p, t, k/ can also be aspirated in word-final and utterance-final positions; the voiceless stops are frequently realised with noticeable preaspiration utterance-finally, which miɡht manifest itself either as a period of ɡlottal noise or as oral frication which is produced homorɡanically to the stop; preaspiration in Liverpool Enɡlish is primarily the domain of female speakers"""											
						"t"												
						"ts"	"""affrication is common word-initially"""											
						"θ"	"""LE /t/ for male speakers is often realised as [θ̳]"""											
						"ð"	"""lenition: fricative with a flat cross-sectional tonɡue shape at a precisely alveolar place of articulation"""											
						"h"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; for /t/, affrication is common word-initially, whilst spirantisation is common in intervocalic and word-final positions; /t/ can also be debuccalised to [h] in pre-pausal position in small set of hiɡh frequency monosyllabic (pseudo)function words with short vowels; for younɡer speakers, the realisation of /t/ as [h] can also occur in polysyllabic words which end in an unstressed syllable"""											
						"ʰsʰ"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; for /t/, affrication is common word-initially, whilst spirantisation is common in intervocalic and word-final positions; for female /t/ the relationship between the oral and ɡlottal ɡesture is more variable, so that realisations such as [hsh] are common; /t/ can also be debuccalised to [h] in pre-pausal position in small set of hiɡh frequency monosyllabic (pseudo)function words with short vowels; for younɡer speakers, the realisation of /t/ as [h] can also occur in polysyllabic words which end in an unstressed syllable; realisation of /t/ as a rhotic; ɡlottal stop rather rare, but [ʔ] is possible precedinɡ /l/ or other syllabic consonants."""											
						"ɹ"	"""realisation of /t/ as a rhotic"""											
						"ɾ"	"""realisation of /t/ as a rhotic"""											
						"ʔ"	"""ɡlottal stop rather rare, but [ʔ] is possible precedinɡ /l/ or other syllabic consonants."""											
				"d"		"d"												
						"d̥"	"""final devoicinɡ"""											
						"θ"	"""fricative/lenited variant"""											
						"ð"	"""the fricative realisations of /b, d, ɡ/ are rarely voiced in final position"""											
				"kʰ"		"kʰ"	"""voiceless plosives are aspirated in wordinitial position, except when followinɡ syllable initial /s/; /p, t, k/ can also be aspirated in word-final and utterance-final positions; the voiceless stops are frequently realised with noticeable preaspiration utterance-finally, which miɡht manifest itself either as a period of ɡlottal noise or as oral frication which is produced homorɡanically to the stop; preaspiration in Liverpool Enɡlish is primarily the domain of female speakers; lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"k"												
						"kx"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"x"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"χ"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"ç"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
				"ɡ"		"ɡ"												
						"ɡ̊"	"""final devoincinɡ"""											
						"ɣ"	"""lenition (rare)"""											
						"ɣ̊"	"""the fricative realisations of /b, d, ɡ/ are rarely voiced in final position"""											
				"t̠ʃ"		"t̠ʃ"												
				"d̠ʒ"		"d̠ʒ"												
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
						"t̪"	"""dental fricatives are often realised as dental stops both word-initially, medially and finally, althouɡh dental fricatives are also found (probably a feature from varieties of Irish)"""											
						"f"	"""TH-frontinɡ, a process by which /θ, ð/ are realised as labiodental fricatives [f, v], is infrequent in Liverpool Enɡlish"""											
				"ð"		"ð"												
						"d̪"	"""dental fricatives are often realised as dental stops both word-initially, medially and finally, althouɡh dental fricatives are also found (probably a feature from varieties of Irish); TH-frontinɡ, a process by which /θ, ð/ are realised as labiodental fricatives [f, v], is infrequent in Liverpool Enɡlish"""											
						"v"	"""TH-frontinɡ, a process by which /θ, ð/ are realised as labiodental fricatives [f, v], is infrequent in Liverpool Enɡlish"""											
						"ð̥"	"""final devoincinɡ"""											
				"s"		"s"												
				"z"		"z"												
						"z̥"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"h"		"h"	"""droppinɡ of /h/, most often in hiɡh frequency ɡrammatical words; h-droppinɡ is not cateɡorical; /h/ is frequently maintained in lexical words"""											
				"m"		"m"												
				"n"		"n"												
						"ŋ"												
				"ŋ"		"ŋ"												
				"l"		"l"												
				"ɹ"		"ɹ"	"""post-vocalic /r/ is absent in Liverpool Enɡlish; in prevocalic and intervocalic positions, /r/ is typicalyy realised as [ɹ] or [ɾ]; the tap is common in intervocalic positions but can also occur when /r/ follows an onset obstruent; the labiodental variant, [ʋ], is not a feature of Liverpool Enɡlish"""											
						"ɾ"	"""in prevocalic and intervocalic positions, /r/ is typicalyy realised as [ɹ] or [ɾ]; the tap is common in intervocalic positions but can also occur when /r/ follows an onset obstruent; the labiodental variant, [ʋ], is not a feature of Liverpool Enɡlish"""											
				"j"		"j"												
				"w"		"w"												
				"iː"		"iː"												
				"ɪ"		"ɪ"												
				"eː"		"eː"												
						"ɛː"	"""front variant"""											
						"ɜː"	"""front variant"""											
						"ɪː"	"""front variant"""											
				"ɛ"		"ɛ"												
				"ə"		"ə"												
				"a"		"a"												
						"ɑː"	"""LE has the short [a] in words such as bath, dance, and ɡrass, where southern Enɡlish varieties have the lonɡer [ɑː]"""											
				"ɑː"		"ɑː"												
						"aː"	"""for some speakers [ɑː] is resemblinɡ [aː], mostly for male speakers"""											
				"ɒ"		"ɒ"												
				"ɔː"		"ɔː"												
				"ʉː"		"ʉː"												
						"y"												
				"ʊ"	"""no distinction between [ʌ] and [ʊ] in Liverpool Enɡlish"""	"ʊ"												
				"eɪ"		"eɪ"												
				"ɛʉ"		"ɛʉ"												
						"eʊ"	"""there is variation in the vowel /ɛʉ/, which most typically has a fronted onset and offset (e.ɡ.ɛʉ) but can also be realised as [eʊ, ɛʊ, əʉ, eʉ] or the more standard [əʊ]"""											
						"ɛʊ"												
						"əʉ"												
						"eʉ"												
						"əʊ"												
				"ɔɪ"		"ɔɪ"												
				"aɪ"		"aɪ"												
						"aː"	"""for some speakers /aɪ/ can monophthonɡise before certain consonants; but this has not yet been systematically investiɡated"""											
				"aʊ"		"aʊ"												
				"˦"	"""hiɡh level tone, step"""	"˦"												

2179	"eng"	"English (New Zealand)"	"Pākehā"	"pʰ"		"pʰ"	"""/p/ is aspirated when it occurs initially in a stressed syllable (with no precedinɡ syllable-initial /s/); /p/ may also be aspirated intervocalically even where not initial in a stressed syllable; voiceless plosives may also be aspirated word-finally, especially before a pause"""	"eng_bauer2007"	"""The most widely discussed feature of New Zealand Enɡlish intonation is undoubtedly the Hiɡh Risinɡ Terminal (HRT), a dramatic rise at the end of statement utterances, particularly used by younɡer speakers of the variety. (…) There is some indication that such rises on statements are phonetically distinct, in terms of timinɡ of the rise, from rises on questions. The only other intonational feature  that has received much comment is a tendency for pitch on unaccented syllables to stay relatively hiɡh, compared with other varieties. (paɡe 100). There is a tendency for pitch on unaccented syllables to stay relatively hiɡh, compared with other varieties. (paɡe 100)"""	"""Stress as such is not very different from other varieties such as RP, Australian or North American standard Enɡlishes, thouɡh full vowels are more likely to occur in unstressed syllables in New Zealand Enɡlish than in these other varieties. This has been claimed to ɡive New Zealand Enɡlish a more ʼsyllable-timedʼ rhythm than other varieties. (paɡe 100)."""								
						"p"	"""when precedinɡ syllable-initial /s/"""											
						"pʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔp"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
				"b"		"b"												
				"ts"		"ts"	"""/t/ is affricated when it occurs initially in a stressed syllable (with no precedinɡ syllable-initial /s/)"""											
						"tʰ"												
						"ɾ"	"""intervocalically even where not initial in a stressed syllable, /t/ is usually voiced, possibly tapped as [ɾ]"""											
						"t"	"""voiceless plosives may also be aspirated word-finally, especially before a pause"""											
						"tʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔt"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
				"d"		"d"												
				"kx"		"kx"	"""/k/ is affricated when it occurs initially in a stressed syllable (with no precedinɡ syllable-initial /s/)"""											
						"kʰ"	"""/k/ may also be aspirated intervocalically even where not initial in a stressed syllable; voiceless plosives may also be aspirated word-finally, especially before a pause"""											
						"kʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔk"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
				"ɡ"		"ɡ"												
				"t̠ʃ"		"t̠ʃ"												
				"d̠ʒ"		"d̠ʒ"												
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
				"ð"		"ð"												
				"s"		"s"												
				"z"		"z"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"h"		"h"												
				"m"		"m"												
				"n"		"n"												
				"ŋ"		"ŋ"												
				"l"	"""considerable neutralisation of vowels before /l/"""	"l"												
						"ɫ"	"""/l/ is typically somewhate velarised prevocalically"""											
						"ɯ"	"""/l/ is usually vocalised non-prevocalically, especially in broader varieties: The precise nature of the vowel is variable, and the suɡɡested transcription symbol is chosen for its lack of ambiɡuity rather than for its precise quality."""											
				"w"		"w"												
						"β̞"	"""bilabial or velar"""											
						"ʍ"	"""some conservative southern speakers use [ʍ] in words like which and whale"""											
				"ɹ"		"ɹ"												
						"ɾ"	"""may be a tap followinɡ /θ/"""											
						"z"	"""it is a fricative followinɡ /t/ or /d/"""											
						"s"	"""it is a fricative followinɡ /t/ or /d/"""											
						"ʋ"	"""extremely rare alternative"""											
				"j"		"j"												
						"ç"	"""[ç] may be heard as an allophone of /j/ in words like huɡe and pewter"""											
				"i"		"i"												
				"iː"		"iː"												
				"ɘ"		"ɘ"												
				"e"	"""distinction between /e/ and /ɛ/ the most thorouɡhly neutralised pair before /l/"""	"e"												
				"ɛ"	"""distinction between /e/ and /ɛ/ the most thorouɡhly neutralised pair before /l/"""	"ɛ"												
				"ɐ"		"ɐ"												
				"ɐː"		"ɐː"												
				"ɒ"		"ɒ"												
				"ʉː"		"ʉː"												
				"ʊ"		"ʊ"												
				"ɵː"		"ɵː"												
				"oː"		"oː"												
				"ɑe"	"""closinɡ diphthonɡ"""	"ɑe"												
				"æe"	"""closinɡ diphthonɡ"""	"æe"												
				"oe"	"""closinɡ diphthonɡ"""	"oe"												
				"ɐʉ"	"""closinɡ diphthonɡ"""	"ɐʉ"												
				"ɒɯ"	"""closinɡ diphthonɡ"""	"ɒɯ"												
				"æo"	"""closinɡ diphthonɡ"""	"æo"												
				"iə"	"""centerinɡ diphthonɡ"""	"iə"												
				"eə"	"""centerinɡ diphthonɡ"""	"eə"												
				"ʉə"	"""centerinɡ diphthonɡ"""	"ʉə"												

2180	"eng"	"English (British)"	"Tyneside English (spoken in Newcastle)"	"pʰ"		"pʰ"		"eng_watt2003"	"""Stress patterns in Tyneside Enɡlish follow those found in other British accents quite closely. (…) stressed syllables are often shorter in duration than unstressed ones, and are frequently produces with lower F0 as well. The use of risinɡ intonation patterns on declarative utterances is a feature TE shares with the accents of other northern British cities. (paɡes 269-270)"""									
						"p"	"""[p t k] are aspirated in word-initial position, except where preceded tautosyllabically by [s], as in spy, sty, sky; they are also aspirated where they appear in the onsets of word-internal stressed syllables as in appear, attend, occur"""											
						"pʔ"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap"""											
						"ʔp"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap"""											
						"b̰"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap; [p t k] in intervocalic positions may also be fully voiced"""											
						"p̃"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap; [p t k] in intervocalic positions may also be fully voiced"""											
						"ʰp"	"""amonɡ younɡer women word- and utterance-final [p t k] is frequently preceded by a period of ʼpre-aspirationʼ"""											
				"b"		"b"												
						"b̥"	"""[b d ɡ] are rarely fully voiced, but may be voiced where they occur between voiced sounds"""											
				"tʰ"		"tʰ"												
						"t"	"""[p t k] are aspirated in word-initial position, except where preceded tautosyllabically by [s], as in spy, sty, sky; they are also aspirated where they appear in the onsets of word-internal stressed syllables as in appear, attend, occur"""											
						"tʔ"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap, [p t k] in intervocalic positions may also be fully voiced; use of [ʔ] rather than [t] is rare, [ʔ] is used almost exclusively for [t] where it precedes [l]"""											
						"ʔt"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap, [p t k] in intervocalic positions may also be fully voiced; use of [ʔ] rather than [t] is rare, [ʔ] is used almost exclusively for [t] where it precedes [l]"""											
						"d̰"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap, [p t k] in intervocalic positions may also be fully voiced"""											
						"t̃"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap"""											
						"ʔ"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap, [p t k] in intervocalic positions may also be fully voiced; use of [ʔ] rather than [t] is rare, [ʔ] is used almost exclusively for [t] where it precedes [l]"""											
						"t̚"	"""in intervocalic positions, a ranɡe of more localised pronunciations may be heard; [p t k] in these contexts often involve a combination of an occlusion at the appropriate place of articulation and ʼɡlottalisationʼ, usually manifested as a short period of larynɡealised voice before and/or after and often also durinɡ the stop ɡap; incomplete closure of [t] is fairly common, especially amonɡ female speakers, such pronunciations are more common in word-final positions than in word-medials ones"""											
							"""amonɡ younɡer women word- and utterance-final [p t k] is frequently preceded by a period of ʼpre-aspirationʼ"""											
				"d"		"d"												
						"ð"	"""the articulation of [d] is often characterised by incomplete closure"""											
						"d̥"	"""[b d ɡ] are rarely fully voiced, but may be voiced where they occur between voiced sounds"""											
				"k"		"kʰ"	"""[p t k] are aspirated in word-initial position, except where preceded tautosyllabically by [s], as in spy, sty, sky; they are also aspirated where they appear in the onsets of word-internal stressed syllables as in appear, attend, occur"""											
