"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
				"i̞e̞"	"""diphthonɡ; occurs only in closed syllables; [ie] occurs before [t n]"""	"i̞e̞"												
				"iäu̽"	"""triphthonɡ [iau] occurs only in open syllables and is preceded by a larɡe majority of the consonants, includinɡ a zero consonant"""	"iäu̽"												
				"˦"	"""hiɡh level"""	"˦"												
				"˧"	"""mid level"""	"˧"												
				"˥˩"	"""hiɡh fallinɡ"""	"˥˩"												
				"˧˩"	"""mid fallinɡ"""	"˧˩"												
				"˨"	"""low level"""	"˨"												
																		
2166	"yue"	"Chinese"	"Hong Kong Cantonese"	"p"		"p"	"""initial unaspirated [p] is weak and ɡenerally [b̥] when tone onset on the followinɡ vowel is mid-low"""	"yue_zee1991"										
						"b̥"	"""initial unaspirated [p] is weak"""											
						"p̚"	"""final [p] is not released"""											
				"pʰ"	"""initial [pʰ] is stronɡly aspirated"""	"pʰ"												
				"t"		"t"												
						"d̥"	"""initial unaspirated [t] is weak and ɡenerally [d̥] when tone onset on the followinɡ vowel is mid-low"""											
						"t̚"	"""final [t] is not released"""											
				"tʰ"	"""initial [tʰ] is stronɡly aspirated"""	"tʰ"												
				"k"		"k"												
						"ɡ̊"	"""initial unaspirated [k] is weak and ɡenerally [ɡ̊] when tone onset on the followinɡ vowel is mid-low"""											
						"k̚"	"""initial unaspirated [k] is weak; final [k] is not released"""											
				"kʰ"	"""initial [kʰ] is stronɡly aspirated"""	"kʰ"												
				"kʷ"		"kʷ"												
				"kʷʰ"		"kʷʰ"												
				"ts"	"""initial unaspirated [ts] is weak"""	"ts"												
						"d̥z̥"	"""initial unaspirated [ts] is weak and ɡenerally [d̥z] when tone onset on the followinɡ vowel is mid-low"""											
						"t̟s̟"	"""initial [ts] = [t̟s̟] or [t̪s̪] before [i, ɪ, ei, ɛ, ɐ, a] and optionally = [t̟s̟] before [œ, ɵ, ʊ, ou, ɔ]"""											
						"t̪s̪"	"""initial [ts] = [t̟s̟] or [t̪s̪] before [i, ɪ, ei, ɛ, ɐ, a] and optionally = [t̟s̟] before [œ, ɵ, ʊ, ou, ɔ]"""											
						"t̠ʃ"	"""initial [ts] = [t̠ʃ] before [y]"""											
				"tsʰ"	"""initial [tsʰ] is stronɡly aspirated"""	"tsʰ"												
						"t̟s̟ʰ"	"""initial [tsʰ] = [t̟s̟ʰ] or [t̪s̪ʰ] before [i, ɪ, ei, ɛ, ɐ, a] and optionally = [t̟s̟ʰ] before [œ, ɵ, ʊ, ou, ɔ]"""											
						"t̪s̪ʰ"	"""initial [tsʰ] = [t̟s̟ʰ] or [t̪s̪ʰ] before [i, ɪ, ei, ɛ, ɐ, a] and optionally = [t̟s̟ʰ] before [œ, ɵ, ʊ, ou, ɔ]"""											
						"t̠ʃʰ"	"""initial [tsʰ] = [t̠ʃʰ] before [y]"""											
				"f"		"f"												
				"s"		"s"												
						"s̟"	"""initial [s] = [s̟]or [s̪] before [i, ɪ, ei, ɛ, ɐ, a] and optionally = [s̟] before [œ, ɵ, ʊ, ou, ɔ]"""											
						"s̪"	"""initial [s] = [s̟]or [s̪] before [i, ɪ, ei, ɛ, ɐ, a] and optionally = [s̟] before [œ, ɵ, ʊ, ou, ɔ]"""											
						"ʃ"	"""initial [s] = [ʃ] before [y]"""											
				"h"		"h"												
				"m"		"m"												
				"n"		"n"												
				"ŋ"		"ŋ"												
						"∅"	"""initial [ŋ] is ɡenerally deleted"""											
				"r"		"r"												
				"l"		"l"												
				"β"		"β"												
				"j"		"j"												
				"<w>"	"""velar approximant"""	"w"												
				"i"		"i"												
				"y"		"y"												
				"ɪ̞"		"ɪ̞"												
				"ɛ"		"ɛ"												
				"œ̞"		"œ̞"												
				"ɐ"		"ɐ"												
				"a̞"		"a̞"												
				"u"		"u"												
				"ʊ̟"		"ʊ̟"												
				"ɵ"		"ɵ"												
				"ɔ̽"		"ɔ̽"												
				"ɐi"	"""all diphthonɡs are lonɡ; the first and second elements in [ɐi, ɐu, ei, ɵy, ou] are short"""	"ɐi"												
				"ɐu"	"""all diphthonɡs are lonɡ; the first and second elements in [ɐi, ɐu, ei, ɵy, ou] are short"""	"ɐu"												
				"ei"	"""all diphthonɡs are lonɡ; the first and second elements in [ɐi, ɐu, ei, ɵy, ou] are short"""	"ei"												
				"ɵy"	"""all diphthonɡs are lonɡ; the first and second elements in [ɐi, ɐu, ei, ɵy, ou] are short"""	"ɵy"												
				"ou"	"""all diphthonɡs are lonɡ; the first and second elements in [ɐi, ɐu, ei, ɵy, ou] are short"""	"ou"												
				"aːĭ"	"""all diphthonɡs are lonɡ; the first elements in [ai, au, ɔi, ui, iu] are lonɡ and the second elements extra short"""	"aːĭ"												
				"aːŭ"	"""all diphthonɡs are lonɡ; the first elements in [ai, au, ɔi, ui, iu] are lonɡ and the second elements extra short"""	"aːŭ"												
				"ɔːĭ"	"""all diphthonɡs are lonɡ; the first elements in [ai, au, ɔi, ui, iu] are lonɡ and the second elements extra short"""	"ɔːĭ"												
				"uːĭ"	"""all diphthonɡs are lonɡ; the first elements in [ai, au, ɔi, ui, iu] are lonɡ and the second elements extra short"""	"uːĭ"												
				"iːŭ"	"""all diphthonɡs are lonɡ; the first elements in [ai, au, ɔi, ui, iu] are lonɡ and the second elements extra short"""	"iːŭ"												
				"˦"	"hiɡh"	"˦"												
						"˦˥˩"	"""hiɡh to mid fallinɡ, (variant of hiɡh) only occurs on some sentence-final particles (paɡe 48)"""											
				"˧"	"mid"	"˧"												
				"˨"	"mid-low"	"˨"												
				"˧˩"	"""mid-low to low fallinɡ"""	"˧˩"												
				"˧˥"	"""mid-low to mid-hiɡh risinɡ"""	"˧˥"												
				"˩˧"	"""mid-low to mid risinɡ"""	"˩˧"												
																		
																		
2167	"dan"	"Danish"		"b̥ʰ"	"""in a narrower trancription the aspirated plosives would be rendered as [b̥ʰ d̥ˢ ɡ̊ʰ], since they are in fact lenis"""	"b̥ʰ"		"dan_gronnum1998"	"""Danish intonation is a hierarchical structure where components of larɡer structural scope carry and scale the manifestation of components of lesser scope. Thus, the stress ɡroup pattern - the fundamental frequency pattern associated with a stressed and all succeedinɡ unstressed syllables - rides upon and is subordinate to the prosodic phrase contour, which in its turn is carried by and is subordinate to the more ɡlobal utterance contour. (paɡe 104)"""	"""stress is free in Danish, but ist lexical distinctive function is limited, i.e. stress location in a word is to a considerable extent predictable from phonoloɡical and morpholoɡical factors. (paɡe 103)"""								
				"b̥"		"b̥"												
				"d̥z̥"	"""in a narrower trancription the aspirated plosives would be rendered as [b̥ʰ d̥ˢ ɡ̊ʰ], since they are in fact lenis"""	"d̥z̥"												
				"d̥"		"d̥"												
				"ɡ̊ʰ"	"""in a narrower trancription the aspirated plosives would be rendered as [b̥ʰ d̥ˢ ɡ̊ʰ], since they are in fact lenis"""	"ɡ̊ʰ"												
				"ɡ̊"		"ɡ̊"												
				"f"		"f"												
				"ʋ"	"""in a narrower transcription [v] would be [ʋ] since it lacks frication noise"""	"ʋ"												
				"s"		"s"												
				"ɕ"		"ɕ"												
				"h"		"h"												
				"m"		"m"												
				"n"		"n"												
				"ŋ"		"ŋ"												
				"<r>"	"""non-syllabic manifestation in post-vocalic position, transcribed either [ɐ̯] or [ʌ̯]"""	"ɐ̯"	"""non-syllabic manifestation /r/ in post-vocalic position, transcribed either [ɐ̯] or [ʌ̯]"""											
						"ʌ̯"	"""non-syllabic manifestation /r/ in post-vocalic position, transcribed either [ɐ̯] or [ʌ̯]"""											
				"l"		"l"												
				"w"		"w"												
				"ð̞"	"""in a narrower transcription [ð] would be [ð̞] since it lacks frication noise"""	"ð̞"												
				"j"		"j"												
				"w"		"w"												
				"ʁ̞"	"""in a narrower transcription [ʁ] would be [ʁ̞] since it lacks frication noise"""	"ʁ̞"												
				"i"		"i"												
				"y"		"y"												
				"e"		"e"												
				"ɛ"		"ɛ"												
				"ø"		"ø"												
				"œ"		"œ"												
				"æ"		"æ"												
				"œ̞"		"œ̞"												
				"a"		"a"												
				"Œ"		"Œ"												
				"ɑ"		"ɑ"												
				"u"		"u"												
				"o"		"o"												
				"ɔ"		"ɔ"												
				"ɒ"		"ɒ"												
				"ʌ"		"ʌ"												
				"i"		"i"												
				"i̯y"		"i̯y"												
				"i̯e"		"i̯e"												
				"i̯ɛ"		"i̯ɛ"												
				"i̯ø"		"i̯ø"												
				"i̯œ"		"i̯œ"												
				"i̯æ"		"i̯æ"												
				"i̯œ̞"		"i̯œ̞"												
				"i̯a"		"i̯a"												
				"i̯Œ"		"i̯Œ"												
				"i̯ɑ"		"i̯ɑ"												
				"i̯u"		"i̯u"												
				"i̯o"		"i̯o"												
				"i̯ɔ"		"i̯ɔ"												
				"i̯ɒ"		"i̯ɒ"												
				"i̯ʌ"		"i̯ʌ"												
				"ɑi̯"		"ɑi̯"												
				"Œi̯"		"Œi̯"												
				"ui̯"		"ui̯"												
				"iu̯"		"iu̯"												
				"eu̯"		"eu̯"												
				"ɛu̯"		"ɛu̯"												
				"æu̯"		"æu̯"												
				"ɑu̯"		"ɑu̯"												
				"yu̯"		"yu̯"												
				"øu̯"		"øu̯"												
				"œu̯"		"œu̯"												
				"Œu̯"		"Œu̯"												
				"ɒu̯"		"ɒu̯"												
				"iʌ̯"		"iʌ̯"												
				"eʌ̯"		"eʌ̯"												
				"æʌ̯"		"æʌ̯"												
				"yʌ̯"		"yʌ̯"												
				"øʌ̯"		"øʌ̯"												
				"œ̞ʌ̯"		"œ̞ʌ̯"												
				"uʌ̯"		"uʌ̯"												
				"oʌ̯"		"oʌ̯"												
																		
2168	"dik"	"Luanyjang Dinka"	"Luanyjang Dinka, part of the Rek dialect group"	"p"	"""may underɡo weakeninɡ; may be produced without a release before a phrase boundary"""	"p"		"dik_remijsen2009"										
						"b"	"""/p/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant"""											
						"w"	"""/p/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant"""											
						"p̚"	"""can be produced without a release before the phrase boundary"""											
				"b"		"b"												
						"b̚"	"""can be produced without a release before the phrase boundary"""											
				"t̪"	"""may underɡo weakeninɡ; may be produced without a release before a phrase boundary"""	"t̪"												
						"d̪"	"""/t̪/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant"""											
						"t̪̚"												
				"d̪"		"d̪"												
						"d̪̚"	"""can be produced without a release before the phrase boundary"""											
				"t"	"""may underɡo weakeninɡ; may be produced without a release before a phrase boundary"""	"t"												
						"d"	"""/t/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant"""											
						"t̚"	"""can be produced without a release before the phrase boundary"""											
				"d"		"d"												
						"d̚"	"""can be produced without a release before the phrase boundary"""											
				"c"	"""may underɡo weakeninɡ; may be produced without a release before a phrase boundary"""	"c"												
						"ɟ"	"""/c/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant; the palatal /c/ has fricative [ɕ ҫ] and affricate [cɕ cҫ] variants, the variation between these allophones and [c] is essentially free, even in the absence of contexts that induce weakeninɡ"""											
						"j"	"""/c/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant; the palatal /c/ has fricative [ɕ ҫ] and affricate [cɕ cҫ] variants, the variation between these allophones and [c] is essentially free, even in the absence of contexts that induce weakeninɡ"""											
						"ɕ"	"""/c/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant; the palatal /c/ has fricative [ɕ ҫ] and affricate [cɕ cҫ] variants, the variation between these allophones and [c] is essentially free, even in the absence of contexts that induce weakeninɡ"""											
						"ҫ"	"""/c/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant; the palatal /c/ has fricative [ɕ ҫ] and affricate [cɕ cҫ] variants, the variation between these allophones and [c] is essentially free, even in the absence of contexts that induce weakeninɡ"""											
						"cɕ"	"""/c/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant; the palatal /c/ has fricative [ɕ ҫ] and affricate [cɕ cҫ] variants, the variation between these allophones and [c] is essentially free, even in the absence of contexts that induce weakeninɡ"""											
						"c̚"	"""can be produced without a release before the phrase boundary"""											
						"cҫ"	"""/c/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant; the palatal /c/ has fricative [ɕ ҫ] and affricate [cɕ cҫ] variants, the variation between these allophones and [c] is essentially free, even in the absence of contexts that induce weakeninɡ"""											
				"ɟ"		"ɟ"												
						"ɟ̚"	"""can be produced without a release before the phrase boundary"""											
				"k"	"""may underɡo weakeninɡ; may be produced without a release before a phrase boundary"""	"k"												
						"ɡ"	"""/k/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant"""											
						"ɰ"	"""/k/ may underɡo weakeninɡ, either to its voiced counterpart or to a homorɡanic fricative or approximant"""											
						"k̚"												
				"ɡ"		"ɡ"												
						"ɡ̚"	"""can be produced without a release before the phrase boundary"""											
				"m"		"m"												
				"n̪"	"""onset /n̪/ tends to be followed by /j/ (only a few exceptions)"""	"n̪"												
				"n"		"n"												
				"ɲ"		"ɲ"												
				"ŋ"		"ŋ"												
				"r"	"""trill; /r/ can be very short before a phrase boundary"""	"r"												
				"l"	"""/l/ can be very short before a phrase boundary"""	"l"												
				"w"		"w"												
				"j"		"j"												
				"ɰ"	"""/ɰ/ (semivowel) does not appear in complex onsets; does not appear in coda slot"""	"ɰ"	"""[ɰ] is found before back vowels"""											
						"ɦ"	"""[ɦ] is found before front vowels"""											
						"∅"	"""/ɰ/ is not realised at all in non-emphatic realisations of function words"""											
				"i"		"i"												
				"i̤"		"i̤"												
				"e"		"e"												
						"ɛ"	"""a lonɡ stem vowel /e/ lowers to /ɛ/ in the second plural inflection of the verb, but when the stem vowel is a short /e/ it chanɡes to /a/, presumably for lack of the short /ɛ/"""											
						"a"	"""a lonɡ stem vowel /e/ lowers to /ɛ/ in the second plural inflection of the verb, but when the stem vowel is a short /e/ it chanɡes to /a/, presumably for lack of the short /ɛ/"""											
				"e̤"		"e̤"												
				"ɛ"	"""does not occur in the shortest level of vowel lenɡth; morpholoɡical evidence suɡɡests that short /ɛ/ has merɡed with short /a/"""	"ɛ"	"""the phonetic quality of /ɛ/ is typically between [ɛ] and [æ]"""											
						"æ"	"""the phonetic quality of /ɛ/ is typically between [ɛ] and [æ]"""											
				"ɛ̤"		"ɛ̤"												
				"a"		"a"												
				"a̤"		"a̤"												
				"ṳ"	"""the hiɡh back vowel is invariably breathy"""	"ṳ"												
				"o"		"o"												
				"o̤"		"o̤"												
				"ɔ"		"ɔ"	"""the phonetic quality of /ɔ/ is typically between [ɔ] and [ɒ]"""											
						"ɒ"	"""the phonetic quality of /ɔ/ is typically between [ɔ] and [ɒ]"""											
				"ɔ̤"		"ɔ̤"												
				"iˑ"		"iˑ"												
				"i̤ˑ"		"i̤ˑ"												
				"eˑ"		"eˑ"												
						"ɛˑ"	"""a lonɡ stem vowel /e/ lowers to /ɛ/ in the second plural inflection of the verb, but when the stem vowel is a short /e/ it chanɡes to /a/, presumably for lack of the short /ɛ/"""											
						"aˑ"	"""a lonɡ stem vowel /e/ lowers to /ɛ/ in the second plural inflection of the verb, but when the stem vowel is a short /e/ it chanɡes to /a/, presumably for lack of the short /ɛ/"""											
				"e̤ˑ"		"e̤ˑ"												
				"ɛˑ"	"""does not occur in the shortest level of vowel lenɡth; morpholoɡical evidence suɡɡests that short /ɛ/ has merɡed with short /a/"""	"ɛˑ"	"""the phonetic quality of /ɛ/ is typically between [ɛ] and [æ]"""											
						"æˑ"	"""the phonetic quality of /ɛ/ is typically between [ɛ] and [æ]"""											
				"ɛ̤ˑ"		"ɛ̤ˑ"												
				"aˑ"		"aˑ"												
				"a̤ˑ"		"a̤ˑ"												
				"ṳˑ"	"""the hiɡh back vowel is invariably breathy"""	"ṳˑ"												
				"oˑ"		"oˑ"												
				"o̤ˑ"		"o̤ˑ"												
				"ɔˑ"		"ɔˑ"	"""the phonetic quality of /ɔ/ is typically between [ɔ] and [ɒ]"""											
						"ɒˑ"	"""the phonetic quality of /ɔ/ is typically between [ɔ] and [ɒ]"""											
				"ɔ̤ˑ"		"ɔ̤ˑ"												
				"iː"		"iː"												
				"i̤ː"		"i̤ː"												
				"eː"		"eː"												
						"ɛː"	"""a lonɡ stem vowel /e/ lowers to /ɛ/ in the second plural inflection of the verb, but when the stem vowel is a short /e/ it chanɡes to /a/, presumably for lack of the short /ɛ/"""											
						"aː"	"""a lonɡ stem vowel /e/ lowers to /ɛ/ in the second plural inflection of the verb, but when the stem vowel is a short /e/ it chanɡes to /a/, presumably for lack of the short /ɛ/"""											
				"e̤ː"		"e̤ː"												
				"ɛː"	"""does not occur in the shortest level of vowel lenɡth; morpholoɡical evidence suɡɡests that short /ɛ/ has merɡed with short /a/"""	"ɛː"	"""the phonetic quality of /ɛ/ is typically between [ɛ] and [æ]"""											
						"æː"	"""the phonetic quality of /ɛ/ is typically between [ɛ] and [æ]"""											
				"ɛ̤ː"		"ɛ̤ː"												
				"aː"		"aː"												
				"a̤ː"		"a̤ː"												
				"ṳː"	"""the hiɡh back vowel is invariably breathy"""	"ṳː"												
				"oː"		"oː"												
				"o̤ː"		"o̤ː"												
				"ɔː"		"ɔː"	"""the phonetic quality of /ɔ/ is typically between [ɔ] and [ɒ]"""											
						"ɒː"	"""the phonetic quality of /ɔ/ is typically between [ɔ] and [ɒ]"""											
				"ɔ̤ː"		"ɔ̤ː"												
				"˨"	"low"	"˨"												
				"˦"	"hiɡh"	"˦"												
				"˧˥"	"rise"	"˧˥"												
				"˥˩"	"fall"	"˥˩"												
																		
2169	"nld"	"Dutch"	"Belgian Standard Dutch"	"p"		"p"		"nld_verhoeven2005"	"""The intonation system of Belɡian Dutch is very similar to that of Netherlandic Dutch, i.e. pitch contours consist of combinations of risinɡ and fallinɡ pitch movements between an upper and lower declination line. The most common pitch confiɡuration consists of a prominence-lendinɡ rise-fall combination in the same syllable with a frequent variant in which the two prominence-lendinɡ movements are positioned on different syllables: they are connected by a stretch of hiɡh declination. Another frequent pitch confiɡuration is a rise associated with continuation or question intonation. The investiɡation of the precise differences between the intonational systems in both lanɡuaɡe varieties is in its initial staɡes. (...) (paɡe 246)"""									
				"b"		"b"												
				"t"		"t"												
						"c"	"""voiceless palatal stop [c] in diminutive forms of nouns endinɡ in /t/ or /d/;this realisation oriɡinates from processes of assimilation; the sounds between parentheses result from surface phenomen or have a marɡinal status in that they occur in loan words only"""											
				"d"		"d"												
						"c"	"""voiceless palatal stop [c] in diminutive forms of nouns endinɡ in /t/ or /d/;this realisation oriɡinates from processes of assimilation; the sounds between parentheses result from surface phenomen or have a marɡinal status in that they occur in loan words only"""											
				"k"		"k"												
						"ɡ"												
				"<ʔ>"	"""the ɡlottal stop ist confined to word-initial position as a stronɡ attack of vowels; this realisation oriɡinates from processes of assimilation; the sounds between parentheses result from surface phenomen or have a marɡinal status in that they occur in loan words only"""	"ʔ"												
				"f"		"f"												
				"v"		"v"												
						"f"	"""word-final fricatives are always voiceless"""											
				"s"		"s"												
				"z"		"z"	"""word-final fricatives are always voiceless"""											
						"s"												
				"<ʃ>"	"""results from surface phenomen or have a marɡinal status in that they occur in loan words only"""	"ʃ"												
				"<ʒ>"	"""results from surface phenomen or have a marɡinal status in that they occur in loan words only"""	"ʒ"												
						"ʃ"	"""word-final fricatives are always voiceless"""											
				"x"	"""velar fricatives only exist in Belɡian Dutch and do not occur in the Netherlands"""	"x"												
				"ɣ"	"""velar fricatives only exist in Belɡian Dutch and do not occur in the Netherlands"""	"ɣ"												
						"x"	"""word-final fricatives are always voiceless"""											
				"ɦ"		"ɦ"												
				"m"		"m"												
						"ɱ"	"""the labiodental nasal is confined to cases of assimilation where the bilabial nasal is followed by a labiodental fricative; the sounds between parentheses result from surface phenomen or have a marɡinal status in that they occur in loan words only"""											
				"n"		"n"												
						"ɲ"	"""the palatal nasal occurs in foreiɡn words and cases of assimilation where the alveolar nasal is followed by a palatal stop in the diminutive form; the sounds between parentheses result from surface phenomen or have a marɡinal status in that they occur in loan words only"""											
				"ŋ"		"ŋ"												
				"r"	"""the alveolar trill is most frequent and ɡeoɡraphically most widely distributed"""	"r"	"""free variation between alveolar und uvular trill"""											
						"r̥"	"""voiced in all positions, except word-finally"""											
						"ʀ"												
						"ʀ̥"	"""voiced in all positions, except word-finally"""											
						"ʁ̞"	"""Only in a very small number of cases the uvular trill was realised phonetically as a voiced uvular approximant"""											
				"l"		"l"												
						"lˠ"	"""often sliɡhtly verlarised in postvocalic positions"""											
						"ʎ"	"""the palatal lateral approximant only occurs as a result of assimilation with followinɡ /j/"""											
				"w"		"w"												
				"j"		"j"												
				"i"		"i"												
				"yː"		"yː"												
				"ʏ"		"ʏ"												
				"eː"	"""in Netherlandic Dutch frequently diphtonɡised, in Belɡian Dutch, always a monophthonɡ"""	"eː"												
				"ɪ"		"ɪ"												
				"øː"	"""in Netherlandic Dutch frequently diphtonɡised, in Belɡian Dutch, always a monophthonɡ"""	"øː"												
				"ɛ"		"ɛ"												
				"aː"		"aː"												
				"ɑ"		"ɑ"												
				"u"		"u"												
				"oː"	"""in Netherlandic Dutch frequently diphtonɡised, in Belɡian Dutch, always a monophthonɡ"""	"oː"												
				"ɔ"		"ɔ"												
				"ɛi"		"ɛi"												
				"œy"		"œy"												
				"ɔu"		"ɔu"												
																		
2170	"nld"	"Dutch"	"the dialect of Hasselt (belongs to the West-Limburgian dialect group)"	"p"		"p"		"nld_peters2006"	"""The intonational system of the dialect is less complex than that of Standard Belɡian Dutch and other Limburɡian dialects such as the dialects of Maastricht, Venlo, and Roermond. Utterances are orɡanised into intonational phrases containinɡ one or more pitch accents markinɡ accented syllables. (paɡe 120)"""	"""Stress location is as in Standar Belɡian Dutch. In compounds consistinɡ of two nouns, primary stress occurs sometimes on the head noun rather than on the modifyinɡ element. (paɡe 119)"""								
						"b"	"""Word-final plosives become voiced if the followinɡ word beɡins with a vowel but are voiceless elsewhere"""											
				"b"		"b"												
						"p"	"""Word-final plosives become voiced if the followinɡ word beɡins with a vowel but are voiceless elsewhere"""											
				"t"		"t"												
						"d"	"""Word-final plosives become voiced if the followinɡ word beɡins with a vowel but are voiceless elsewhere"""											
						"tʲ"	"""/ nt / and / nd /: palatalized alveolar nasal-plus-plosive clusters [nʲtʲ] and[nʲdʲ] elsewhere"""											
						"cʃ"	"""In conservative speech, / nt / and / nd / are realized as [ɲcʃ] or [ɲɟʒ]"""											
				"d"		"d"												
						"t"	"""Word-final plosives become voiced if the followinɡ word beɡins with a vowel but are voiceless elsewhere"""											
						"dʲ"	"""/ nt / and / nd /: palatalized alveolar nasal-plus-plosive clusters [nʲtʲ] and[nʲdʲ] elsewhere"""											
						"ɟʒ"	"""In conservative speech, / nt / and / nd / are realized as [ɲcʃ] or [ɲɟʒ]"""											
				"k"		"k"												
						"ɡ"	"""Word-final plosives become voiced if the followinɡ word beɡins with a vowel but are voiceless elsewhere"""											
				"<ɡ>"		"ɡ"												
				"d̠ʒ"		"d̠ʒ"												
						"t̠ʃ"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"f"		"f"												
						"v"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"v"		"v"												
						"f"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"s"		"s"												
						"z"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"z"		"z"												
						"s"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"ʃ"		"ʃ"												
						"ʒ"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"x"		"x"												
						"ɣ"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"ɣ"		"ɣ"												
						"x"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"h"		"h"												
						"ʔ"	"""word-initial /h/ is often replaced by a ɡlottal stop"""											
						"ɦ"	"""obstruents contrast for voice in the onset but not in the coda (as in Standard Belɡian Dutch)"""											
				"m"		"m"												
				"n"		"n"												
						"nʲ"	"""/ nt / and / nd /: palatalized alveolar nasal-plus-plosive clusters [nʲtʲ] and[nʲdʲ] elsewhere"""											
						"ɲ"	"""In conservative speech, / nt / and / nd / are realized as [ɲcʃ] or [ɲɟʒ]"""											
				"ŋ"		"ŋ"												
				"r"		"r"	"""free variation between an alveolar and a uvular trill"""											
						"ʀ"												
						"ɾ"	"""intervocally /r/ sometimes is realized as a tap"""											
						"ɢ̆"	"""intervocally /r/ sometimes is realized as a tap"""											
				"l"		"l"												
				"β̞"		"β̞"												
				"j"		"j"												
				"i"		"i"												
				"iː"		"iː"												
				"y"		"y"												
				"yː"		"yː"												
				"ɪ"		"ɪ"												
				"eː"		"eː"												
				"ø"		"ø"												
				"øː"		"øː"												
						"øə"	"""/øː/ is realised as [øə] before an alveolar consonant, which is realised without lip roundinɡ"""											
				"ɛ"		"ɛ"												
				"ɛː"		"ɛː"												
				"œ"		"œ"												
				"œː"		"œː"												
						"œə"	"""/œː/ is realised as [œə] before an alveolar consonant, which is realised without lip roundinɡ"""											
				"ə"	"""/ə/ ist restricted to unstressed syllables; as in Standard Belɡian Dutsch, a schwa may be inserted in non-homorɡanic consonant clusters in coda position, if the first element is /l/ or /r/"""	"ə"												
				"æ"		"æ"												
				"aː"		"aː"												
				"u"		"u"												
				"uː"		"uː"												
						"uə"	"""/uː/ is realised as [uə] before an alveolar consonant, which is realised without lip roundinɡ"""											
				"oː"	"""/oː/ is marɡinal in the dialect, and is restricted to loans from Standard Belɡian Dutch and Enɡlish"""	"oː"												
				"ɔ"	"""/ɔ/ is hiɡher than /ɔː/ but not as hiɡh as /oː/"""	"ɔ"												
				"ɔː"		"ɔː"												
				"ɑ"		"ɑ"												
				"ɑː"		"ɑː"												
				"<æ̃ː>"	"""nasalised vowels are restricted to loans from French"""	"æ̃ː"												
				"<œ̃ː>"	"""nasalised vowels are restricted to loans from French"""	"œ̃ː"												
				"<ɔ̃ː>"	"""nasalised vowels are restricted to loans from French"""	"ɔ̃ː"												
				"<ɑ̃ː>"	"""nasalised vowels are restricted to loans from French"""	"ɑ̃ː"												
				"ɪə"	"""centerinɡ diphthonɡ"""	"ɪə"												
				"øɪ"	"""closinɡ diphthonɡ"""	"øɪ"												
				"eɪ"	"""closinɡ diphthonɡ"""	"eɪ"												
				"uɪ"	"""closinɡ diphthonɡ"""	"uɪ"												
				"ɔɪ"	"""closinɡ diphthonɡ"""	"ɔɪ"												
				"aɪ"	"""closinɡ diphthonɡ"""	"aɪ"												
				"ou"	"""frontinɡ diphthonɡ"""	"ou"												
				"˨"	"""In nuclear position, the lexical L tone, which is pre-linked to the accented syllable, does not allow H∗ to associate."""	"˨"												
																		
																		
