"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Notes"	"Allophones"	"AllophoneNotes"	"FileNames"
			"l"				
			"r"				
			"w"				
			"j"				
			"i"				
			"iː"				
			"e"				
			"eː"				
			"ɛ"				
			"ɛː"				
			"ɨ"				
			"ɨː"				
			"ə"				
			"əː"				
			"a"				
			"aː"				
			"u"				
			"uː"				
			"o"				
			"oː"				
			"ɔ"				
			"ɔː"				
			"uə"				
							
							
"kin"	"Kinyarwanda"		"a"				"kin_mpayimana2003.pdf"
			"e"				
			"i"				
			"o"				
			"u"				
			"iː"				
			"eː"				
			"aː"				
			"oː"				
			"uː"				
			"ɡ"				
			"k"		"[kʰ]"	"""En position de nasalisation"""	
			"b"				
			"p"		"[pʰ]"	"""En position de nasalisation"""	
			"t"		"[tʰ]"	"""En position de nasalisation"""	
			"d"				
			"m"				
			"n"				
			"v"				
			"f"				
			"ʃ"				
			"z"		"[dz]"	"Varies freely"	
			"s"				
			"h"				
			"r"		"[d]"	"After a nasal"	
					"[ɗ]"	"After a nasal and before a palatal"	
					"[r]"	"Elsewhere"	
			"j"				
			"w"				
			"β"		"[b]"	"After a nasal"	
					"[β]"	"Elsewhere"	
			"ɲ"				
			"ɗ"				
			"ɽ"				
			"ŋ"				
			"ʒ"		"[d̠ʒ]"	"Varies freely"	
			"pf"		"[f]"	"Varies freely"	
			"ts"		"[s]"	"Varies freely"	
			"t̠ʃ"		"[ʃ]"	"Varies freely"	
			"dz"				
			"d̠ʒ"				
			"pʰ"				
			"kʰ"				
			"ɽʰ"				
			"kʲ"				
			"ɡʲ"				
			"hʲ"				
			"kʷ"				
			"ɡʷ"				
			"hʷ"				
			"ŋʷ"				
			"ɴ"				
							
							
"okr"	"Kirike"		"i"				"okr_blench2005.pdf"
			"ɪ"				
			"e"				
			"ɛ"				
			"ə"				
			"a"				
			"ɔ"				
			"o"				
			"ʊ"				
			"u"				
			"p"				
			"b"				
			"t"				
			"d"				
			"t̠ʃ"				
			"d̠ʒ"				
			"k"				
			"ɡ"				
			"kp"				
			"ɡb"				
			"ɓ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"f"				
			"v"				
			"s"				
			"z"				
			"ɾ"				
			"h"				
			"j"				
			"w"				
			"l"				
			"˦"				
			"˨"				
							
							
"kkk"	"Kokota"		"p"		"[pˠ]"	"before [u]"	"kkk_palmer1999.pdf"
			"b"		"[bˠ]"	"before [u]"	
			"t"		"[tʷ]"	"before [u]"	
			"d"		"[dʷ]"	"before [u]"	
			"k"		"[kʷ]"	"before [u]"	
			"ɡ"		"[ɡʷ]"	"before [u]"	
			"f"		"[fˠ]"	"before [u]"	
			"v"		"[vˠ]"	"before [u]"	
			"s"		"[sʷ]"	"before [u]"	
			"z"		"[zʷ]"	"before [u]"	
			"ɣ"		"[ɣʷ]"	"before [u]"	
			"h"		"[hʷ]"	"before [u]"	
			"m"		"[mˠ]"	"before [u]"	
			"m̥"		"[m̥ˠ]"	"before [u]"	
			"n"		"[nʷ]"	"before [u]"	
			"n̥"		"[n̥ʷ]"	"before [u]"	
			"ŋ"		"[ŋˠ]"	"before [u]"	
			"ŋ̥"		"[ŋ̥ˠ]"	"before [u]"	
			"l"		"[lʷ]"	"before [u]"	
			"l̥"		"[l̥ʷ]"	"before [u]"	
			"ɾ"		"[ɾʷ]"	"before [u]"	
			"ɾ̥"		"[ɾ̥ʷ]"	"before [u]"	
			"i"				
			"e"				
			"a"				
			"o"				
			"u"				
							
							
"kme"	"Kole"		"i"				"kme_asobo1989.pdf"
			"e"				
			"ɛ"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"p"		"[f]"	"everywhere (/p/ is becoming rare)"	
			"b"				
			"bʷ"				
			"t"				
			"d"				
			"k"				
			"kp"				
			"ɡb"				
			"d̠ʒ"				
			"ɸ"				
			"β"				
			"f"				
			"s"				
			"mb"				
			"nd"				
			"ɲɟ"	"updated from nɟ"			
			"ŋɡ"				
			"ŋmɡb"	"updated from ŋɡb"			
			"m"				
			"mʷ"				
			"n"				
			"ɲ"				
			"ŋ"				
			"l"				
			"r"				
			"j"				
			"w"				
							
							
							
"kma"	"Konni"		"p"		"[pʰ]"		"kma_cahill1999.pdf"
			"b"		"[β]"	"intervocalically"	
			"t"		"[tʰ]"		
			"d"		"[ɾ]"	"""Intervocalically within words, morpheme-initial and morpheme-internal"""	
					"[d]"	"""Word-initially; intervocalically within word, lexeme-initial; after [n] within a word; intervocalically within a word in borrowed words; intervocalically within word, in ideophones"""	
			"k"		"[kʰ]"		
			"ɡ"		"[ɣ]"	"""intervocalically"""	
			"kp"				
			"ɡb"				
			"t̠ʃ"				
			"d̠ʒ"				
			"f"				
			"v"				
			"s"		"[ʃ]"	"optionally be [ɪ]"	
			"z"		"[ʒ]"	"optionally be [ɪ]"	
			"h"				
			"l"				
			"ɾ"		"[d]"	"""Word-initially; intervocalically within word, lexeme-initial; after [n] within a word; intervocalically within a word in borrowed words; intervocalically within word, in ideophones"""	
					"[ɾ]"	"""Intervocalically within words, morpheme-initial and morpheme-internal"""	
			"m"			"language has a general nasal place assimilatiom rule, but does not state specifically what becomes what where"	
			"n"			"language has a general nasal place assimilatiom rule, but does not state specifically what becomes what where"	
			"ɲ"			"language has a general nasal place assimilatiom rule, but does not state specifically what becomes what where"	
			"ŋ"			"language has a general nasal place assimilatiom rule, but does not state specifically what becomes what where"	
			"ŋm"				
			"j"				
			"w"				
			"i"				
			"e"				
			"u"				
			"o"				
			"ɪ"				
			"ɛ"				
			"a"				
			"ɔ"				
			"ʊ"				
			"iː"				
			"eː"				
			"uː"				
			"oː"				
			"ɪː"				
			"ɛː"				
			"aː"				
			"ʊː"				
			"ɔː"				
			"kː"				
			"tː"				
			"pː"				
			"nː"				
			"mː"				
			"ŋː"				
			"lː"				
							
							
"kdt"	"Kuay"	"Surin"	"p"				"kdt_oranuch1984.pdf"
			"t"				
			"c"				
			"k"				
			"ʔ"				
			"pʰ"				
			"tʰ"				
			"cʰ"				
			"kʰ"				
			"b"				
			"d"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"f"				
			"s"				
			"h"				
			"w"				
			"j"				
			"l"				
			"r"				
			"i"				
			"iː"				
			"e"				
			"eː"				
			"ɛ"				
			"ɛː"				
			"ɯ"				
			"ɯː"				
			"ə"				
			"əː"				
			"ʌ"				
			"ʌː"				
			"a"				
			"aː"				
			"u"				
			"uː"				
			"o"				
			"oː"				
			"ɔ"				
			"ɔː"				
			"ɑ"				
			"ɑː"				
			"ia"				
			"ɯa"				
			"ua"				
							
							
"kle"	"Kulung"		"i"		"[ɪ]"	"""In closed syllables before the phoneme /ŋ/"""	"kle_tolsma1999.pdf"
			"iː"				
			"e"		"[e]"	"""In open syllables"""	
					"[ɛ]"	"""In closed syllables"""	
			"eː"				
			"ə"				
			"əː"				
			"a"				
			"aː"				
			"u"				
			"uː"				
			"o"				
			"oː"				
			"ei"				
			"eu"				
			"əi"				
			"ai"				
			"au"				
			"ui"				
			"oi"				
			"iu"				
			"ou"				
			"p"		"[ɸ]"	"""If followed by the fricative /s/ and a following consonant"""	
			"pʰ"				
			"b"				
			"m"		"[m̥]"	"""If followed by the fricative /s/ and a following consonant"""	
			"w"				
			"t"				
			"tʰ"				
			"d"				
			"n"				
			"r"				
			"l"				
			"s"		"[sʲ]"	"""Before the vowel /e/"""	
			"c"	"unclear from the text if these are underlyingly stops or affricates"			
			"cʰ"	"unclear from the text if these are underlyingly stops or affricates"			
			"ɟ"	"unclear from the text if these are underlyingly stops or affricates"			
			"j"				
			"k"		"[χ]"	"""If followed by the fricative /s/ and a following consonant"""	
			"kʰ"				
			"ɡ"				
			"ŋ"		"[ŋʲ]"	"""Before the vowel /e/"""	
			"ʔ"				
			"h"				
							
							
"kto"	"Kuot"		"p"		"[p]"		"kto_lindstrom2002.pdf"
					"[v]"	"Intervocalically; seems to be pervasive at all intervocalic positions within an utterance; not restricted to words"	
					"[β]"	"Intervocalically; seems to be pervasive at all intervocalic positions within an utterance; not restricted to words"	
					"[p̚]"	"""In final position"""	
			"t"		"[t]"		
					"[r]"	"""In initial position, following a vowel""; seems to be both morpheme initial and word initial based on example"	
					"[t̚]"	"""In final position"""	
			"k"		"[k]"		
					"[ɣ]"	"Intervocalically; seems to be pervasive at all intervocalic positions within an utterance; not restricted to words"	
					"[k̚]"	"""In final position"""	
					"[x]"	"""In very emphatic pronunciation"""	
			"b"		"[b]"	"does not occur word finally"	
					"[mb]"	"optional intervocalic; not necessarily homorganic prenasalization"	
			"d"		"[d]"	"does not occur word finally"	
					"[nd]"	"optional intervocalic; not necessarily homorganic prenasalization"	
			"ɡ"		"[ɡ]"	"does not occur word finally"	
					"[ŋɡ]"	"optional intervocalic; not necessarily homorganic prenasalization"	
			"m"				
			"n"		"[n]"		
					"[l]"	"complicated relationship and not clear as to the conditioninɡ environment; seems to be morphophonemic in nature"	
			"ŋ"				
			"f"		"[ɸ]"	"Varies freely"	
			"s"				
			"l"		"[n]"	"""In final position, and sometimes in initial position"""	
			"r"				
			"i"		"[i]"	"""Free variation"""	
					"[ɪ]"	"""Free variation"""	
			"e"		"[e]"	"""Free variation, with  tendency to appear in the final open syllable"""	
					"[ə]"		
					"[ɛ]"	"""Free variation, with tendency to apear in a non-final syllable"""	
			"ə"				
			"a"		"[a]"		
					"[ə]"	"""In unstressed syllables; many words also have variable pronunciation"""	
					"[aː]"	"""In stressed syllables, particularly in a non-final stressed syllable, mostly before /r/ but also before other continuants"""	
			"u"				
			"o"		"[o]"		
					"[ə]"		
					"[ɔ]"		
					"[oː]"	"""In a non-final stressed syllable before /r/ and in a stressed final open syllable"""	
							
							
"kgg"	"Kusunda"		"i"		"[e]"	'"Free variation; ""related to an intrinsic tendency of consonant-vowel ''harmony'' in certain parts of the language"""'	"kgg_watters2006.pdf"
			"e"		"[i]"	'"Free variation; ""related to an intrinsic tendency of consonant-vowel ''harmony'' in certain parts of the language"""'	
			"a"		"[ə]"	'"Free variation; ""related to an intrinsic tendency of consonant-vowel ''harmony'' in certain parts of the language"""'	
			"ə"		"[a]"	'"Free variation; ""related to an intrinsic tendency of consonant-vowel ''harmony'' in certain parts of the language"""'	
			"u"		"[o]"	'"Free variation; ""related to an intrinsic tendency of consonant-vowel ''harmony'' in certain parts of the language"""'	
			"o"		"[u]"	'"Free variation; ""related to an intrinsic tendency of consonant-vowel ''harmony'' in certain parts of the language"""'	
			"p"		"[b]"	"Intervocalically"	
			"t"		"[t̪]"	"""preceding high front vowels"""	
					"[ʈ]"	"""preceding [o] or [a]"""	
					"[c]"	"""in harmony with uvular consonants"""	
			"k"		"[k̟]"	"pre-velar before front vowels"	
					"[k̠]"	"post-velar before back vowels"	
			"q"				
			"ʔ"				
			"pʰ"	"marginal status"			
			"tʰ"	"marginal status"			
			"kʰ"	"marginal status"	"[χ]"		
					"[kʰ]"		
			"qʰ"	"marginal status"			
			"b"		"[β]"	"Intervocalically"	
					"[b]"		
			"d"		"[d̪]"	"""preceding high front vowels"""	
					"[ɖ]"	"""preceding [o] or [a]"""	
					"[ɟ]"	"""in harmony with uvular consonants"""	
			"ɡ"		"[ɣ]"	"""Intervocalically"""	
					"[ɡ]"		
			"ɢ"		"[ʔ]"		
					"[ʁ]"		
					"[ʕ]"	"""most common phonetic realization of /ɢ/"""	
					"[ɢ]"		
			"bʰ"				
			"dʰ"				
			"ɡʰ"				
			"s"		"[ʃ]"	"""Occurs preceding front vowels"""	
					"[s]"		
			"<χ>"	"""somewhat questionable consonant…"""			
			"ts"		"[z]"		
					"[ʒ]"	'"""In intervocalic environments in which the following vowel is [i] or [e]; occurs only in ''compressed'' or ''contracted'' speech"""'	
					"[ts]"		
			"<t̠ʃ>"	"""somewhat questionable consonant…"""			
			"tsʰ"	"limited occurrence"			
			"dz"		"[z]"		
					"[ʒ]"	'"""In intervocalic environments in which the following vowel is [i] or [e]; occurs only in ''compressed'' or ''contracted'' speech"""'	
					"[dz]"		
			"dzʰ"	"limited occurrence"			
			"m"				
			"n"		"[ɲ]"	"""Preceding high, front vowels"""	
					"[n]"		
			"<ɲ>"	"""somewhat questionable consonant…"""			
			"ŋ"				
			"ɴ"				
			"l"				
			"r"				
			"w"				
			"j"				
							
							
"kxv"	"Kuvi"		"p"				"kxv_israel1979.pdf"
			"t̪"				
			"ʈ"				
			"k"				
			"ʔ"				
			"b"				
			"d̪"				
			"ɖ"				
			"ɡ"				
			"ts"				
			"dz"				
			"s"				
			"m"				
			"n"				
			"ɳ"				
			"ŋ"				
			"l"				
			"ɾ"		"[r]"	"freely varies intervocalically"	
			"ɽ"				
			"v"				
			"j"				
			"h"				
			"i"				
			"e"				
			"a"				
			"o"				
			"u"				
			"iː"				
			"eː"				
			"aː"				
			"oː"				
			"uː"				
			"ĩ"				
			"ẽ"				
			"ã"				
			"õ"				
			"ũ"				
							
							
"xwa"	"Kwaza"		"i"				"xwa_voort2004.pdf"
			"e"		"[ɛ]"	"""In rapid speech"""	
					"[ɪ]"	"""when following the retracted apico-aveolar consonant [s̠]"	
					"[i]"	"free varation (optional)"	
			"ɛ"		"[æ]"	"Free variation"	
			"ɨ"		"[ə]"	"""In unstressed position"""	
			"œ"		"[œ̈]"		
			"a"		"[ɑ]"	"""syllable internal position immediately preceding the tautosyllabic bilabial glide"""	
					"[a]"		
					"[ɔ]"		
			"u"		"[ɨ]"		
					"[o]"		
			"ɔ"	"states that this is /o/ but is [ɔ] everywhere."	"[ɑ]"	"before a bilabial semi-vowel (not [w]); possibly related to syllable boundaries"	
					"[ø]"		
			"ĩ"				
			"ẽ"				
			"ɛ̃"				
			"ɨ̃"		"[ã]"	"""After a consonant glide cluster there may be variation"""	
			"ã"				
			"ũ"				
			"ɔ̃"	"states that this is /õ/ but is [ɔ̃] everywhere."			
			"p"				
			"t̪"				
			"<c>"	"post-alveolar apical plosive (I suspect this might be a retroflex)"			
			"k"		"[k]"		
					"[kʲ]"	"""Before [e] and sometimes before [i] and [ɛ̃]"""	
			"ʔ"				
			"ɓ"		"[b]"	"Free variant"	
			"ɗ"		"[d]"	"Free variant"	
			"ts"				
			"t̠ʃ"				
			"t"				
			"s"				
			"ʃ"	"apical, possibly a retroflex, author is confusing on this phoneme"			
			"h"		"[h]"		
					"[ɦ]"		
					"[h̃]"		
			"m"				
			"n"		"[ʔn]"	"Optional"	
			"ɲ"				
			"ɾ"		"[l]"	"""Subject to phoneme fluctuation"""	
					"[d]"	"""Optional allophone of /ɾ/ word internally""; examples show this is free variation"	
					"[ɾ̃]"	"""Occurs optionally in a nasal environment"""	
			"l"		"[ɾ]"	"""Subject to phoneme fluctuation"""	
			"w"				
			"j"		"[j̃]"	"""Immediately before a nasalised vowel"""	
			"<y>"	"Loan from Aikana"			
			"<b>"	"Loan from Portuguese"			
			"<d>"	"Loan from Portuguese"			
			"<f>"	"Loan from Portuguese"			
			"<ɡ>"	"Loan from Kwaza and Aikana"			
			"<ŋ>"	"Loan from Portuguese"			
			"<v>"	"Loan from Portuguese"			
			"<ð>"	"Loan from Aikana"			
			"<z>"	"Loan from Aikana"			
			"<ʒ>"	"Loan from Portuguese"			
							
							
							
"lbj"	"Ladakhi"		"i"		"[i]"		"lbj_koshal1979.pdf"
					"[iː]"	"""In the final position"""	
					"[ĩ]"	"""In the vicinity of nasal consonants"""	
			"e"		"[e]"	"""Occurs only in the final position"""	
					"[ɛ]"	"""Occurs in the initial and medial positions"""	
					"[ẽ]"	"""In the vicinity of nasal consonants"""	
			"ə"		"[ə]"	"""Occurs initially and medially"""	
					"[a]"	"""Occurs only in the syllable final"""	
					"[ɐ]"	"""Freely varies with [ə] initially and medially and with [a] in the pre-internal juncture position"""	
					"[ə̃]"	"""In the vicinity of nasal consonants"""	
			"u"		"[u]"		
					"[uː]"	"""In the final position"""	
					"[ũ]"	"""In the vicinity of nasal consonants"""	
			"o"		"[o]"	"""Occurs in the absolute-final position only"""	
					"[ʌ]"	"""Occurs elsewhere, viz. initially, medially and finally (but not before pause)"""	
					"[õ]"	"""In the vicinity of nasal consonants"""	
			"p"				
			"t̪"				
			"ʈ"				
			"k"		"[k]"		
					"[k̠]"	"""Occurs before a pause"""	
			"pʰ"				
			"t̪ʰ"				
			"ʈʰ"				
			"kʰ"				
			"b"		"[b]"		
					"[β]"	"""Freely varies in initial clusters after /r, l/ and after a vowel or /r, l, n, ŋ/ and syllable boundary"""	
			"d̪"		"[d̪]"		
					"[ð]"	"""Freely varies in initial clusters after /r, l/ and after a vowel or /r, l, n, ŋ/ and syllable boundary"""	
			"ɗ"				
			"ɡ"		"[ɡ]"		
					"[ɣ]"	"""Freely varies in initial clusters after /r, l/ and after a vowel or /r, l, n, ŋ/ and syllable boundary"""	
			"ts"				
			"t̠ʃ"				
			"tsʰ"				
			"t̠ʃʰ"				
			"dz"				
			"d̠ʒ"				
			"s"				
			"ʂ"				
			"ʃ"				
			"h"				
			"z"				
			"ʒ"				
			"r"		"[r]"		
					"[r̥]"	"""Occurs initially before a voiceless consonant"""	
			"l"		"[l]"		
					"[l̥]"	"""Occurs initially before a voiceless consonant"""	
			"ɮ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"w"				
			"j"				
							
							
"lag"	"Langi"		"p"				"lag_dunham2005.pdf"
			"t"				
			"k"				
			"ʔ"				
			"b"				
			"d"				
			"ɡ"				
			"mp"				
			"nt"				
			"ŋk"				
			"mb"				
			"nd"				
			"ŋɡ"				
			"t̠ʃ"				
			"d̠ʒ"				
			"n̠t̠ʃ"				
			"n̠d̠ʒ"				
			"f"				
			"s"				
			"ʃ"				
			"h"				
			"v"				
			"z"				
			"l"		"[l]"		
					"[r]"	"""When followed by the vowel /i/"""	
			"r"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"w"				
			"ɥ"	"?"			
			"j"				
			"i"				
			"ɪ"				
			"e"				
			"ɛ"				
			"a"				
			"ɑ"				
			"ɔ"				
			"o"				
			"ʊ"				
			"u"				
			"iː"				
			"ɪː"				
			"eː"				
			"ɛː"				
			"aː"				
			"ɑː"				
			"ɔː"				
			"oː"				
			"ʊː"				
			"uː"				
							
							
"lao"	"Lao"		"i"				"lao_morev1979.pdf"
			"ɯ"				
			"u"				
			"e"				
			"ɤ"				
			"o"				
			"ɛ"				
			"ɔ"				
			"a"				
			"ia"				
			"ɯə"				
			"uə"				
			"p"				
			"t"				
			"c"				
			"k"				
			"ʔ"				
			"b"				
			"d"				
			"f"				
			"s"				
			"h"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"w"				
			"l"				
			"j"				
			"cʷ"				
			"kʷ"				
			"ʔʷ"				
			"sʷ"				
			"ŋʷ"				
			"lʷ"				
			"pʰ"				
			"tʰ"				
			"kʰ"				
			"kʰʷ"				
			"tʰʷ"				
							
							
"lvk"	"Lavukaleve"		"<pʰ>"	"rare phoneme mostly in loan words"			"lvk_terrill1999.pdf"
			"t"		"[t]"		
					"[tʰ]"	"free variation word initially"	
			"kʰ"				
			"b"		"[b]"		
					"[mb]"	"in free variation between vowels"	
			"<d>"		"[d]"		
					"[nd]"	"in free variation between vowels"	
			"m"				
			"n"				
			"ŋ"				
			"r"		"[r]"	"Free variation"	
					"[ɹ]"	"Free variation"	
					"[ɾ]"	"Free variation"	
			"l"				
			"f"				
			"s"				
			"h"				
			"β"				
			"ɰ"		"[ɰ]"		
					"[ɣ]"	"free variation"	
					"[ɡ]"	"free variation"	
			"i"		"[ɪ]"	"""In unstressed syllables"""	
					"[i]"	"""Elsewhere"""	
			"e"				
			"a"				
			"u"		"[u]"		
					"[ɔ]"		
			"o"		"[o]"		
					"[ɔ]"		
							
							
"bwt"	"Bafo"	"Lefo"	"i"				"bwt_ebah1990.pdf"
			"e"				
			"ɛ"				
			"ə"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"iː"				
			"eː"				
			"ɛː"				
			"əː"				
			"aː"				
			"uː"				
			"oː"				
			"ɔː"				
			"p"				
			"b"				
			"t"				
			"d"				
			"k"				
			"ɡ"				
			"ʔ"				
			"kp"				
			"ɓ"				
			"f"				
			"s"				
			"ʃ"				
			"dz"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"p̃"				
			"b̃"				
			"t̃"				
			"d̃"				
			"dz̃"				
			"k̃"				
			"ɡ̃"				
			"l"				
			"j"				
			"w"				
			"˦"				
			"˨"				
			"˩˥"				
			"˥˩"				
							
							
"lun"	"Lunda"		"i"		"[iː]"	"""Mostly in the penultimate position. Word-internally when precedes cluster of nasal plus a consonant"""	"lun_kawasha2003.pdf"
			"e"		"[eː]"	"""Mostly in the penultimate position. Word-internally when precedes cluster of nasal plus a consonant"""	
			"a"		"[aː]"	"""Mostly in the penultimate position. Word-internally when precedes cluster of nasal plus a consonant"""	
			"o"		"[oː]"	"""Mostly in the penultimate position. Word-internally when precedes cluster of nasal plus a consonant"""	
			"u"		"[uː]"	"""Mostly in the penultimate position. Word-internally when precedes cluster of nasal plus a consonant"""	
					"[w]"	"before a vowel"	
			"iː"				
			"eː"				
			"aː"				
			"oː"				
			"uː"				
			"p"				
			"b"				
			"t"		"[t̠ʃ]"	"""Across morphemes before the front high vowel"""	
			"d"		"[ʒ]"	"""Across morphemes before the front high vowel"""	
			"k"				
			"ɡ"				
			"f"				
			"v"				
			"s"				
			"z"		"[d̠ʒ]"	"""Across morphemes before the front high vowel"""	
			"ʃ"				
			"ʒ"				
			"h"				
			"t̠ʃ"				
			"d̠ʒ"				
			"l"		"[n]"	"When attached ""to a verb root whose last consonant is a nasal /m/ or /n/"""	
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"w"				
			"j"				
							
							
"lch"	"Lucazi"		"a"				"lch_fleisch2000.pdf"
			"e"		"[ɛ]"		
			"ɪ"				
			"o"		"[ɔ]"		
			"ʊ"				
			"aː"				
			"eː"				
			"ɪː"				
			"oː"				
			"ʊː"				
			"p"				
			"t"				
			"<t̪>"	"marginal"			
			"k"				
			"mpʰ"				
			"ntʰ"				
			"ŋkʰ"				
			"mb"				
			"nd"				
			"ŋɡ"				
			"f"				
			"<θ>"	"marginal; borrowed"			
			"s"				
			"<ʃ>"	"marginal; borrowed"			
			"h"				
			"<ð>"	"marginal; borrowed"			
			"z"				
			"<ʒ>"	"marginal; borrowed"			
			"ts"				
			"t̠ʃ"				
			"nts"				
			"n̠t̠ʃ"				
			"ndz"				
			"n̠d̠ʒ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"β"				
			"l"				
			"j"				
			"ɦ"				
							
							
"bdu"	"Lukundu"		"p"		"[pʰ]"	"Free variation"	"bdu_atta1993.pdf"
			"b"		"[b]"	"""Elsewhere"""	
					"[β]"	"""Between vowels"""	
					"[bʷ]"	"""Preceding two sequences of vowels, the first being u and the second being a or ɛ"""	
					"[bʲ]"	"""Preceding two sequences of vowels, the first being i and the second being e"""	
			"m"		"[mʷ]"	"""Preceding two sequences of vowels, the first being u and the second being a or ɛ"""	
					"[m]"	"""Elsewhere"""	
					"[mʲ]"	"""Preceding two sequences of vowels, the first being i and the second being a"""	
			"mb"		"[b̃ʷ]"	"""Preceding two vowel sounds of which the first is u and the second being a"""	
					"[b̃]"	"""Elsewhere"""	
			"t"		"[tʲ]"	"""Preceding two vowels, the first one being i and the second being a"""	
					"[t]"	"""Elsewhere"""	
			"d"		"[dʷ]"	"""Preceding two vowels, the first being u"""	
					"[d]"	"""Elsewhere"""	
			"s"		"[sʷ]"	"""Preceding two vowels of which the first is u and the next being a"""	
					"[s]"	"""Elsewhere"""	
					"[sʲ]"	"""Preceding two vowels of which the first is u and the next being a"""	
			"n"				
			"nd"				
			"l"				
			"ɽ"		"[ɽʷ]"	"""Preceding two vowels of different qualities where the first is the vowel u which becomes a glide on the surface"""	
					"[ɽ]"	"""Elsewhere"""	
					"[ɽʲ]"	"""Preceding two vowels, the first being i and the second being a"""	
			"t̠ʃ"		"[t̠ʃʷ]"	"""Preceding two vowels of different qualities where the first is the vowel u which becomes a glide on the surface"""	
					"[t̠ʃ]"	"""Elsewhere"""	
			"d̠ʒ"				
			"n̠d̠ʒ"		"[n̠d̠ʒʲ]"	"""Preceding two vowels, the first being i and the next being a"""	
			"ɲ"				
			"k"		"[kʷ]"	"""Preceding the vowels u and a"""	
					"[k]"	"""Elsewhere"""	
					"[kʲ]"	"""Preceding two vowels, the first being i and the next being either a or o"""	
			"ŋ"		"[ŋʷ]"	"Free variation"	
			"ŋɡ"		"[ŋɡʷ]"	"""Preceding two vowels of different qualities, mostly u and a"""	
					"[ŋɡ]"	"""Elsewhere"""	
			"kp"				
			"ŋmɡb"	"updated from ŋɡb"			
			"w"				
			"j"				
			"i"				
			"e"		"[ə]"	"""In free variation at word initial position"""	
			"ɛ"				
			"a"		"[aː]"	"""In free variation"""	
			"u"		"[uː]"	"""In free variation"""	
			"o"		"[oː]"	"""In free variation"""	
			"ɔ"				
							
							
"mkd"	"Macedonian"		"i"		"[j]"	"word finally after a vowel"	"mkd_friedman2002.pdf"
			"e"				
			"ə"				
			"a"				
			"u"				
			"o"				
			"p"				
			"b"				
			"t̪"				
			"d̪"				
			"c"				
			"ɟ"				
			"k"				
			"ɡ"				
			"f"				
			"v"				
			"s"				
			"z"				
			"ʃ"				
			"ʒ"				
			"x"				
			"ts"				
			"dz"				
			"t̠ʃ"				
			"d̠ʒ"				
			"j"				
			"l"				
			"l̪"				
			"m"				
			"n"		"[n]"		
					"[ŋ]"	"""Before /k, ɡ/"""	
			"ɲ"				
			"r"				
							
							
"mxu"	"Mada"	"Rija"	"p"				"mxu_blench2006.pdf"
			"t"				
			"k"				
			"kp"				
			"b"				
			"d"				
			"ɡ"				
			"ɡb"				
			"f"				
			"s"				
			"v"				
			"z"				
			"ts"				
			"dz"				
			"m"				
			"n"				
			"ŋ"				
			"l"				
			"r"				
			"w"				
			"j"				
			"ʍ"				
			"i"				
			"e"				
			"ɛ"				
			"a"				
			"ə"				
			"ɔ"				
			"o"				
			"u"				
			"ĩ"				
			"ɛ̃"				
			"ã"				
			"ɔ̃"				
			"ũ"				
			"˦"				
			"˧"				
			"˨"				
			"˩˥"				
			"˥˩"				
							
							
"grg"	'"Ma''di"'		"p"				"grg_blackings2003.pdf"
			"t"				
			"k"		"[hʷ]"	"""Variant for some speakers"""	
			"ʔ"				
			"b"				
			"d"				
			"ɡ"				
			"mb"				
			"nd"				
			"ŋɡ"				
			"ɓ"				
			"ɗ"				
			"ʄ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"f"				
			"s"				
			"h"				
			"v"				
			"z"				
			"ɱv"				
			"t̠ʃ"				
			"d̠ʒ"				
			"n̠d̠ʒ"				
			"l"				
			"r"				
			"j"				
			"kp"				
			"tʷ"				
			"kʷ"		"[hʷ]"	"""Variant for some speakers"""	
			"ʔʷ"				
			"ɡb"				
			"dʷ"				
			"ɡʷ"				
			"ŋmɡb"	"updated from mɡb"			
			"ndʷ"				
			"ŋɡʷ"				
			"ɠɓ"		"[ɓʷ]"	"""Variant form for some speakers"""	
			"ŋm"		"[mʷ]"	"""Variant form for some speakers"""	
			"t̠ʃʷ"				
			"lʷ"				
			"rʷ"				
			"w"				
			"ɨ"				
			"ɛ"				
			"a"		"[ʌ]"	"""Contextually conditioned variants"""	
			"i"				
			"e"				
			"ʊ"				
			"ɔ"				
			"u"				
			"o"				
							
							
"mva"	"Manam"		"p"				"mva_turner1986.pdf"
			"t"				
			"k"				
			"b"				
			"d"				
			"ɡ"				
			"s"				
			"z"				
			"m"				
			"n"				
			"ŋ"				
			"l"				
			"ɾ"				
			"i"				
			"e"				
			"a"				
			"o"				
			"u"				
							
							
"bce"	"Mamenyan"		"i"				"bce_forku2000.pdf"
			"e"				
