spaDescription	Phoneme	PhonemeOld	NotesTwo
higher-mid-falling-mid	˦˧
lower-mid-rising-over-short	˨˥̆
low-falling	˨˩
lower-mid	˨
mid-rising	˧˥
mid-over-short	˧̆
higher-mid	˦
x-uvular-labialized	χʷ
x-uvular-palatalized	χʲ
x-uvular-long-pharyngealized	χˤː
x-uvular-long	χː
x-uvular-pharyngealized	χˤ
x-uvular	χ
theta-long	θː
theta-half-long	θˑ
theta	θ
beta-labiovelarized	βʷˠ
beta-nasalized-palatalized	β̃ʲ
beta-palatalized	βʲ
beta-velarized	βˠ
beta-approximant-long	β̞ː
beta-long	βː
beta-approximant-breathy voice-nasalized	β̞̤̃
beta-approximant-nasalized	β̞̃
beta-approximant	β̞
beta	β
glottal stop-unreleased-labialized	ʔ̚ʷ
glottal stop-labialized	ʔʷ
w-preglottalized-voiceless	ˀw̥	ʔw̥
w-preglottalized	ˀw	ʔw
t-preglottalized	ˀt	ʔt
r-trill-preglottalized	ˀr	ʔr
p-preglottalized	ˀp	ʔp
o-glide-preglottalized	ˀo̯	ʔo̯
eng-prevelar-preglottalized	ˀŋ̟	ʔŋ̟
eng-preglottalized	ˀŋ	ʔŋ
n-palatal-preglottalized	ˀɲ	ʔɲ
n-preglottalized	ˀn	ʔn
m-preglottalized-voiceless	ˀm̥	ʔm̥
m-preglottalized	ˀm	ʔm
l-laminal-preglottalized-voiceless	ˀl̻̥	ʔl̻̥
l-preglottalized	ˀl	ʔl
k-preglottalized	ˀk	ʔk
glottal stop-palatalized	ʔʲ
yod-preglottalized-voiceless	ˀj̥	ʔj̥
yod-preglottalized	ˀj	ʔj
glottal stop-aspirated	ʔʰ
g-preglottalized	ˀɡ	ʔɡ
d-dental-preglottalized	ˀd̪	ʔd̪
d-retroflex-preglottalized	ˀɖ	ʔɖ
d-preglottalized	ˀd	ʔd
b-preglottalized-labialized	ˀbʷ	ʔbʷ
b-preglottalized	ˀb	ʔb
pharyngeal-voice-long	ʕː
glottal stop-long	ʔː
mid-falling-creaky voice/glottal stop	˧˩̰ʔ
glottal stop-pharyngealized	ʔˤ
pharyngeal-voice	ʕ
glottal stop	ʔ
z-hacek-palatalized	ʒʲ
z-hacek-velarized	ʒˠ
z-hacek-long-pharyngealized	ʒˤː
z-hacek-long	ʒː
z-hacek-pharyngealized	ʒˤ
z-hacek-syllabic	ʒ̩
z-hacek-nasalized	ʒ̃
z-hacek	ʒ
z-approximant-labialized-syllabic	z̞̩ʷ
z-labiovelarized	zʷˠ
z-palatalized	zʲ
z-approximant-nasalized-velarized-syllabic	z̞̩̃ˠ
z-approximant-velarized-syllabic	z̞̩ˠ
z-velarized	zˠ
z-long-pharyngealized	zˤː
z-dental-long	z̪ː
z-long	zː
z-hacek-retroflex-glottalized	ʐˀ	ʐ̰
z-approximant-syllabic	z̞̩
z-half-long-nasalized	z̃ˑ
z-pharyngealized	zˤ
z-laminal	z̻
z-dental	z̪
z-syllabic	z̩
z-hacek-retroflex	ʐ
z-retroflex	ʐ
z-nasalized	z̃
z	z
u-trema/schwa-glide	yə̯
u-trema-long	yː
l-palatoalveolar	ʎ̟
l-palatal	ʎ
upsilon-trema-voiceless-over-short	ʏ̥̆
u-trema-voiceless	y̥
u-trema-nasalized	ỹ
u-trema-over-short	y̆
upsilon-trema	ʏ
u-trema	y
x-long-labialized	xʷː
x-labialized	xʷ
x/r-trill-uvular-voiceless	xʀ̥
x-prevelar-palatalized	x̟ʲ
x-palatalized	xʲ
x/h	xh
x-velarized	xˠ
x-long/r-trill-uvular-voiceless	xːʀ̥
x-long	xː
x-ejective	xʼ
x-half-long	xˑ
x-prevelar	x̟
x	x
w/o	uo	wo
w/iota	uɪ	wɪ
w/epsilon	uɛ	wɛ
w/o-open	uɔ	wɔ
w/a	ua	wa
w-long-nasalized	w̃ː
w-long	wː
w-retroflexed	w˞
w-voiceless	ʍ
w-creaky voice-nasalized	w̰̃
w-glottalized	wˀ	w̰
w-creaky voice	w̰
w-nasalized	w̃
w-over-short	w̆
w	w
v-labialized	vʷ
v-labiovelarized	vʷˠ
v-approximant-palatalized	ʋʲ
v-palatalized	vʲ
v-velarized	vˠ
caret-long-nasalized	ʌ̃ː
caret-long	ʌː
v-approximant-long	ʋː
v-long	vː
caret-glide	ʌ̯
caret-voiceless	ʌ̥
caret-nasalized	ʌ̃
v-approximant-nasalized	ʋ̃
caret-over-short	ʌ̆
v-half-long	vˑ
caret	ʌ
v-approximant	ʋ
v-syllabic	v̩
v-nasalized	ṽ
v	v
upsilon/w	ʊu	ʊw
u/w	uu̯	uw	the non-syllabic marker is used to indicate the glideness of the vowel symbol
upsilon/u	ʊu
u/yod	ui	uj
upsilon/schwa-glide	ʊə̯
u/schwa-glide	uə̯
u/e-dot	uɘ
upsilon-creaky voice-long	ʊ̰ː
upsilon-long-retracted	ʊ̙ː
upsilon-dot-long-nasalized	ʊ̈̃ː
upsilon-long-nasalized	ʊ̃ː
upsilon-dot-long	ʊ̈ː
upsilon-long	ʊː
u-creaky voice-long	ṵː
u-voiceless-long	u̥ː
u-breathy voice-long	ṳː
u-long-fronted	u̟ː
u-dot-long	ʉː
u-long-nasalized	ũː
u-long	uː
upsilon-retroflexed	ʊ˞
upsilon-voiceless-over-short	ʊ̥̆
upsilon-creaky voice	ʊ̰
upsilon-glide	ʊ̯
upsilon-voiceless	ʊ̥
upsilon-breathy voice	ʊ̤
upsilon-fronted	ʊ̟
upsilon-retracted	ʊ̙
upsilon-dot-nasalized	ʊ̈̃
upsilon-nasalized	ʊ̃
upsilon-over-short	ʊ̆
upsilon-dot	ʊ̈
u-retroflexed	u˞
u-half-long	uˑ
upsilon	ʊ
u-voiceless-over-short	ŭ̥
u-creaky voice	ṵ
u-voiceless	u̥
u-fronted	u̟
u-over-short-nasalized	ŭ̃
u-dot	ʉ
u-nasalized	ũ
u-over-short	ŭ
u	u
t/x-uvular	tχ
t/x-labialized	txʷ
t/x	tx
t-retroflex-aspirated-labiovelarized	ʈʷˠʰ
t-aspirated-labialized	tʷʰ
t-aspirated-labiovelarized	tʷˠʰ
t-retroflex-labiovelarized	ʈʷˠ
t-labialized	tʷ
t-labiovelarized	tʷˠ
t/s/x-labialized	tsxʷ
t/s/x	tsx
t/s-aspirated-labialized	tsʷʰ
t/s-aspirated-labiovelarized	tsʷˠʰ
t/s-ejective-labialized	tsʷʼ
t/s-labialized	tsʷ
t/s-labiovelarized	tsʷˠ
t/s-aspirated-palatalized	tsʲʰ
t/s-palatalized	tsʲ
t/s-aspirated-long	tsʰː
t/s-aspirated	tsʰ
t/s-long	tsː
t/s-ejective-long	tsʼː
t/s-ejective	tsʼ
t/s-fricative-ejective	tsʼ
t/s	ts
t-retroflex/r-flap-retroflex	ʈɽ
t/p	tp
t-laminal-nasal-release-palatalized	t̻ⁿʲ
t-dental-nasal-release	t̪ⁿ
t-retroflex-nasal-release	ʈⁿ
t-nasal-release	tⁿ
t/l-fricative-ejective-palatalized	tɬʲʼ
t-laminal-lateral-release-palatalized	t̻ˡʲ
t/l-fricative-aspirated	tɬʰ
t/l-fricative-ejective-syllabic	tɬ̩ʼ
t/l-fricative-ejective	tɬʼ
t-dental-lateral-release	t̪ˡ
t-retroflex-lateral-release	ʈˡ
t-lateral-release	tˡ
t/l-fricative-voice	tɮ
t/l-fricative	tɬ
t-dental-aspirated-palatalized	t̪ʲʰ
t-retroflex-aspirated-palatalized	ʈʲʰ
t-aspirated-palatalized	tʲʰ
t-long-palatalized	tʲː
t-laminal-palatalized	t̻ʲ
t-dental-palatalized	t̪ʲ
t-retroflex-palatalized	ʈʲ
t-unreleased-palatalized	t̚ʲ
t-palatalized	tʲ
t-laminal-aspirated-long	t̻ʰː
t-dental-aspirated-long	t̪ʰː
t-retroflex-aspirated-long	ʈʰː
t-aspirated-long	tʰː
t-laminal-aspirated	t̻ʰ
t-dental-aspirated	t̪ʰ
t-retroflex-aspirated	ʈʰ
t-aspirated	tʰ
t-velarized	tˠ
t/c-fricative-aspirated-labialized	cçʷʰ		updated from tçʷʰ
t/c-fricative-aspirated	cçʰ		updated from tçʰ
t/c-fricative-long	cçː		updated from tçː
t/c-fricative	cç		updated from tç
t-long/s	tːs
t-long-pharyngealized	tˤː
t-laminal-long	t̻ː
t-dental-long	t̪ː
t-retroflex-long	ʈː
t-long	tː
t-ejective-long	tʼː
t-laminal-ejective	t̻ʼ
t-dental-ejective	t̪ʼ
t-retroflex-ejective	ʈʼ
t-ejective	tʼ
t-unreleased-pharyngealized	t̚ˤ
t-laminal-unreleased	t̻̚
t-dental-unreleased	t̪̚
t-retroflex-unreleased	ʈ̚
t-pharyngealized	tˤ
t-half-long	tˑ
t-laminal	t̻
t-dental	t̪
t-retroflex	ʈ
t-unreleased	t̚
t	t
s-laminal/theta	s̻θ
s-labialized	sʷ
s-labiovelarized	sʷˠ
s/t/s-long	stsː
s/t/s	sts
s/t	st
s/l-fricative	sɬ
s-long-palatalized	sʲː
s-laminal-palatalized	s̻ʲ
s-palatalized	sʲ
s-aspirated	sʰ
s-velarized	sˠ
s-long-pharyngealized	sˤː
s-laminal-long	s̻ː
s-dental-long	s̪ː
s-retroflex-long	ʂː
s-long	sː
s-ejective-long	sʼː
s-ejective	sʼ
s-laminal-half-long	s̻ˑ
s-approximant-syllabic	s̞̩
s-pharyngealized	sˤ
s-half-long	sˑ
s-laminal	s̻
s-dental	s̪
s-syllabic	s̩
s-hacek-retroflex	ʂ
s-retroflex	ʂ
s-nasalized	s̃
s	s
gamma-uvular-labialized	ʁʷ
r-trill-labiovelarized	rʷˠ
r-flap/n	ɾn
r-flap/l	ɾl
r-flap-voiceless-palatalized	ɾ̥ʲ
l-flap-voiceless-palatalized	ɺ̥ʲ
r-flap-nasalized-palatalized	ɾ̃ʲ
r-flap-palatalized	ɾʲ
l-flap-palatalized	ɺʲ
gamma-uvular-palatalized	ʁʲ
r-trill-voiceless-palatalized	r̥ʲ
r-flap-retroflex-palatalized	ɽʲ
r-trill-palatalized	rʲ
r-flap-dental-velarized	ɾ̪ˠ
r-flap-voiceless-velarized	ɾ̥ˠ
r-flap-nasalized-velarized	ɾ̃ˠ
r-flap-velarized	ɾˠ
r-trill-velarized	rˠ
r-trill-long-pharyngealized	rˤː
r-flap-long	ɾː
l-flap-long	ɺː
gamma-uvular-long-pharyngealized	ʁˤː
gamma-uvular-long	ʁː
r-trill-long	rː
r-flap-glottalized	ɾˀ	ɾ̰
r-approximant-retroflex-syllabic	ɻ̩
r-flap-voiceless	ɾ̥
r-flap-breathy voice	ɾ̤
r-syllabic	ɹ̩
r-approximant-retroflex-voiceless	ɻ̥
l-flap-voiceless	ɺ̥
l-flap-nasalized	ɺ̃
l-flap	ɺ
r-approximant-retroflex-voiceless-syllabic	ɻ̥̩
r-fricative-retroflex-voiceless	ʂ͇		updated from ɻ̝̥ to match UPSID's sibilant/non-sibilant distinction
r-approximant-uvular-voiceless	ʁ̞̥
r-fricative-voiceless	z̥͇		updated from ɹ̝̥ to match UPSID's sibilant/non-sibilant distinction; s͇ does not appear in UPSID; f-fricative-voiceless only appears allophonically in SPA
gamma-uvular-pharyngealized	ʁˤ
gamma-uvular-creaky voice	ʁ̰
r-trill-voiceless-half-long	r̥ˑ
r-approximant-voiceless	ɹ̥
r-fricative-retroflex	ʐ͇		updated from ɻ̝ to match UPSID's sibilant/non-sibilant distinction
r-approximant-uvular	ʁ̞
r-fricative	z͇		updated from ɹ̝ to match UPSID's sibilant/non-sibilant distiction
r-flap-retroflex-voiceless	ɽ̥
r-flap-retroflex-breathy voice	ɽ̤
r-trill-pharyngealized	rˤ
r-trill-half-long	rˑ
r-flap	ɾ
r-approximant-retroflex	ɻ
gamma-uvular	ʁ
r-approximant	ɹ
r-trill-syllabic	r̩
r-trill-uvular-voiceless	ʀ̥
r-trill-voiceless	r̥
r-flap-retroflex-nasalized	ɽ̃
r-flap-retroflex	ɽ
r-flap-pharyngealized	ɾˤ
r-flap-nasalized	ɾ̃
r-trill	r
r-trill-uvular	ʀ
q/x-uvular-ejective-labialized	qχʷʼ
q/x-uvular-labialized	qχʷ
q/x-uvular-aspirated-long	qχʰː
q/x-uvular-aspirated	qχʰ
q/x-uvular-ejective	qχʼ
q/x-uvular	qχ
q-aspirated-labialized	qʷʰ
q-ejective-labialized	qʷʼ
q-labialized	qʷ
q-aspirated-palatalized	qʲʰ
q-palatalized	qʲ
q-aspirated	qʰ
q-long-pharyngealized	qˤː
q-long	qː
q-ejective	qʼ
q-pharyngealized	qˤ
q-creaky voice	q̰
q-unreleased	q̚
q	q
p-aspirated-labialized	pʷʰ
p-aspirated-labiovelarized	pʷˠʰ
phi-labiovelarized-nasalized	ɸ̃ʷˠ
phi-labialized	ɸʷ
phi-labiovelarized	ɸʷˠ
p-unreleased-labiovelarized	p̚ʷˠ
p-labialized	pʷ
p-labiovelarized	pʷˠ
p/phi	pɸ
p-nasal-release	pⁿ
p-lateral-release	pˡ
p-aspirated-palatalized	pʲʰ
p-long-palatalized	pʲː
phi-nasalized-palatalized	ɸ̃ʲ
phi-palatalized	ɸʲ
p-unreleased-palatalized	p̚ʲ
p-palatalized	pʲ
p-aspirated-long	pʰː
p-aspirated	pʰ
p-velarized	pˠ
p/f-aspirated	pfʰ
p/f-ejective	pfʼ
p/f	pf
phi-long	ɸː
p-long	pː
p-ejective-long	pʼː
phi-ejective	ɸʼ
p-ejective	pʼ
phi-nasalized	ɸ̃
p-half-long	pˑ
phi	ɸ
p-labiodental	p̪
p-unreleased	p̚
p	p
o-mid/w	o̞u	o̞w
o-dot/w	ɵu	ɵw
o/w	ou	ow
o-glide/u	o̯u
o/u-retracted	ou̙
o/u-nasalized	oũ
o/u	ou
o/o-mid-long	oo̞ː
o/o-mid	oo̞
o-mid/yod	o̞i	o̞j
o/yod-over-short	oĭ	oj̆
o/e-trema-retroflexed	oɤ˞
o/e-trema	oɤ
o-open-trema-long-nasalized	œ̃ː
o-open-trema-long	œː
o-mid-trema/schwa-glide	ø̞ə̯
o-mid/schwa-glide	o̞ə̯
o-open-trema-nasalized	œ̃
o-open-trema	œ
o-mid/o-open-glide	o̞ɔ̯
o-long/w	oːu	oːw
o-mid-creaky voice-long	o̞̰ː
o-mid-dot-long-nasalized	ɵ̞̃ː
o-mid-trema-long	ø̞ː
o-mid-dot-long	ɵ̞ː
o-mid-long-nasalized	õ̞ː
o-breathy voice-long	o̤ː
o-long-fronted	o̟ː
o-mid-long	o̞ː
o-long-advanced	o̘ː
o-trema-long	øː
o-long-nasalized	õː
o-long	oː
o-mid-trema-pharyngealized	ø̞ˤ
o-mid-retroflexed	o̞˞
o-mid-dot-glide	ɵ̞̯
o-mid-creaky voice-nasalized	õ̞̰
o-mid-dot-backed	ɵ̞̠
o-mid-creaky voice	o̞̰
o-mid-glide	o̞̯
o-mid-voiceless	o̞̥
o-mid-fronted	o̞̟
o-mid-dot-nasalized	ɵ̞̃
o-mid-dot-over-short	ɵ̞̆
o-mid-trema	ø̞
o-mid-dot	ɵ̞
o-mid-nasalized	õ̞
o-mid-over-short	ŏ̞
o-creaky voice	o̰
o-glide	o̯
o-voiceless	o̥
o-breathy voice	o̤
o-fronted	o̟
o-mid	o̞
o-trema-nasalized	ø̃
o-trema-over-short	ø̆
o-over-short-nasalized	ŏ̃
o-trema	ø
o-dot	ɵ
o-nasalized	õ
o-over-short	ŏ
o	o
eng-postglottalized	ŋˀ	ŋʔ
eng-labialized-syllabic	ŋ̩ʷ
eng-labialized	ŋʷ
eng/m-syllabic	ŋm̩
eng/m	ŋm
k-prenasalized-labialized	ŋkʷ
k-prenasalized-palatalized	ŋkʲ
k-prenasalized-aspirated	ŋkʰ
k-prenasalized	ŋk
eng-prevelar-palatalized-syllabic	ŋ̟̩ʲ
eng-voiceless-palatalized	ŋ̥ʲ
eng-prevelar-palatalized	ŋ̟ʲ
eng-palatalized	ŋʲ
g-prenasalized-labialized	ŋɡʷ
g-prenasalized-palatalized	ŋɡʲ
g/b-prenasalized	ŋmɡb
g-prenasalized-breathy voice	ŋɡ̤
g-prevelar-prenasalized	ŋɡ̟
g-prenasalized	ŋɡ
eng-long	ŋː
eng-voiceless-half-long	ŋ̥ˑ
eng-prevelar-half-long	ŋ̟ˑ
eng-half-long	ŋˑ
eng-creaky voice	ŋ̰
eng-glottalized	ŋˀ	ŋ̰
eng-syllabic	ŋ̩
eng-voiceless	ŋ̥
eng-prevelar-voiceless-half-long	ŋ̟̥ˑ
eng-prevelar-voiceless	ŋ̟̥
eng-prevelar	ŋ̟
eng	ŋ
n-postglottalized	nˀ	nʔ
z-prenasalized	nz
n-labialized	nʷ
n-labiovelarized	nʷˠ
t/s-prenasalized-aspirated	ntsʰ
t/s-prenasalized	nts
t-prenasalized-aspirated-palatalized	ntʲʰ
t-prenasalized-aspirated	ntʰ
t-prenasalized	nt
n/m	nm
n-long-palatalized	nʲː
n-laminal-voiceless-palatalized	n̻̥ʲ
n-laminal-palatalized	n̻ʲ
n-palatalized-syllabic	n̩ʲ
n-voiceless-palatalized	n̥ʲ
n-retroflex-palatalized	ɳʲ
n-unreleased-palatalized	n̚ʲ
n-palatal-palatalized	ɲʲ
j-prenasalized	ɲɟ
n-palatalized	nʲ
n-voiceless-velarized	n̥ˠ
n-velarized	nˠ
d/z-prenasalized	ndz
d-prenasalized-palatalized	ndʲ
d/j-fricative-prenasalized	ɲɟʝ		updated from ndʝ
d-dental-prenasalized-breathy voice	n̪d̪̤
d-dental-prenasalized	n̪d̪
d-retroflex-prenasalized-breathy voice	ɳɖ̤
d-retroflex-prenasalized	ɳɖ
d-prenasalized	nd
n-long-pharyngealized	nˤː
n-laminal-long	n̻ː
n-dental-long	n̪ː
n-voiceless-long	n̥ː
n-palatal-long	ɲː
n-long	nː
n-uvular-long	ɴː
n-palatoalveolar-voiceless	ɲ̟̥
n-voiceless-half-long	n̥ˑ
n-laminal-syllabic	n̻̩
n-laminal-voiceless	n̻̥
n-dental-syllabic	n̪̩
n-dental-breathy voice	n̪̤
n-retroflex-syllabic	ɳ̩
n-retroflex-voiceless	ɳ̥
n-palatal-syllabic	ɲ̩
n-palatal-voiceless	ɲ̥
n-palatoalveolar	ɲ̟
n-pharyngealized	nˤ
n-half-long	nˑ
n-laminal	n̻
n-creaky voice	n̰
n-glottalized	nˀ	n̰
n-dental	n̪
n-syllabic	n̩
n-voiceless	n̥
n-breathy voice	n̤
n-retroflex	ɳ
n-unreleased	n̚
n-palatal	ɲ
eng-uvular	ɴ
n	n
n-uvular	ɴ
m-postglottalized	mˀ	mʔ
m-long-labialized-pharyngealized	mʷˤː
m-long-labialized	mʷː
m-voiceless-labialized	m̥ʷ
m-labialized	mʷ
m-labiovelarized	mʷˠ
m-syllabic/v	m̩v
m/v	mv
p-prenasalized-aspirated	mpʰ
p-prenasalized	mp
iota-trema/yod-trema	ɯ̞ɰ
m-long-palatalized	mʲː
m-palatalized-syllabic	m̩ʲ
m-palatalized	mʲ
yod-trema/i-bar	ɰɨ
m-velarized	mˠ
yod-trema/schwa	ɰə
b-prenasalized-labialized	mbʷ
b-prenasalized-palatalized	mbʲ
b-prenasalized-breathy voice	mb̤
b-prenasalized	mb
iota-trema-long-nasalized	ɯ̞̃ː
i-trema-long-nasalized	ɯ̃ː
m-long-pharyngealized	mˤː
i-trema-long	ɯː
m-long	mː
m-syllabic	m̩
i-trema-voiceless-nasalized	ɯ̥̃
i-trema-creaky voice	ɯ̰
m-voiceless-half-long	m̥ˑ
yod-trema-voiceless	ɰ̥
i-trema-voiceless	ɯ̥
m-labiodental-syllabic	ɱ̩
yod-trema-nasalized	ɰ̃
i-trema-nasalized	ɯ̃
i-trema-over-short	ɯ̆
m-pharyngealized	mˤ
m-half-long	mˑ
yod-trema	ɰ
i-trema	ɯ
m-creaky voice	m̰
m-glottalized	mˀ	m̰
m-voiceless	m̥
m-breathy voice	m̤
m-labiodental	ɱ
iota-trema-voiceless-over-short	ɯ̞̥̆
iota-trema-glide	ɯ̞̯
iota-trema-nasalized	ɯ̞̃
iota-trema	ɯ̞
m	m
l-labiovelarized-syllabic	l̩ʷˠ
l-labialized	lʷ
l-labiovelarized	lʷˠ
l-long-palatalized	lʲː
l-fricative-ejective-palatalized	ɬʲʼ
l-fricative-voice-palatalized	ɮʲ
l-fricative-palatalized	ɬʲ
l-laminal-palatalized	l̻ʲ
l-dental-palatalized	l̪ʲ
l-palatalized-syllabic	l̩ʲ
l-palatal-voiceless	l̥ʲ
l-voiceless-palatalized	l̥ʲ
l-retroflex-palatalized	ɭʲ
l-palatalized	lʲ
l-dental-velarized	l̪ˠ
l-velarized-syllabic	l̩ˠ
l-voiceless-velarized	l̥ˠ
l-velarized	lˠ
l-long-pharyngealized	lˤː
l-fricative-long	ɬː
l-laminal-long	l̻ː
l-dental-long	l̪ː
l-retroflex-long	ɭː
l-long	lː
l-fricative-ejective	ɬʼ
l-fricative-laminal	ɬ̻
l-pharyngealized-syllabic	l̩ˤ
l-voiceless-half-long	l̥ˑ
l-fricative-syllabic	ɬ̩
l-laminal-creaky voice	l̻̰
l-laminal-voiceless	l̻̥
l-dental-syllabic	l̪̩
l-retroflex-syllabic	ɭ̩
l-retroflex-voiceless	ɭ̥
l-pharyngealized	lˤ
l-half-long	lˑ
l-fricative-voice	ɮ
l-fricative	ɬ
l-laminal	l̻
l-creaky voice	l̰
l-dental	l̪
l-syllabic	l̩
l-voiceless	l̥
l-breathy voice	l̤
l-retroflex	ɭ
l-nasalized	l̃
l	l
k/x-labialized	kxʷ
k/x-aspirated	kxʰ
k/x-ejective	kxʼ
k/x	kx
k-aspirated-long-labialized	kʷʰː
k-aspirated-labialized	kʷʰ
k-aspirated-labiovelarized	kʷˠʰ
k-long-labialized	kʷː
k-ejective-long-labialized	kʷʼː
k-ejective-labialized	kʷʼ
k-unreleased-labialized	k̚ʷ
k-labialized-pharyngealized	kʷˤ
k-labialized	kʷ
k-labiovelarized	kʷˠ
k/p-unreleased	kp̚
k/p	kp
k-nasal-release	kⁿ
k/x-lateral-ejective	kʟ̥͓ʼ		updated from kʟ̝̥ʼ
k-prevelar-aspirated-palatalized	k̟ʲʰ
k-aspirated-palatalized	kʲʰ
k-prevelar-long-palatalized	k̟ʲː
k-prevelar-ejective-palatalized	k̟ʲʼ
k-ejective-palatalized	kʲʼ
k-prevelar-palatalized	k̟ʲ
k-palatalized	kʲ
k-aspirated-long	kʰː
k-prevelar-aspirated	k̟ʰ
k-aspirated	kʰ
k/gamma-labialized	kɣʷ
k/gamma	kɣ
k-long-pharyngealized	kˤː
k-prevelar-long	k̟ː
k-long	kː
k-ejective-long	kʼː
k-ejective	kʼ
t-laminal-click	kǃ
k-prevelar-unreleased	k̟̚
k-pharyngealized	kˤ
k-half-long	kˑ
k-prevelar	k̟
k-unreleased	k̚
k	k
j-unreleased-postglottalized	ɟ̚ˀ	ɟ̚ʔ
j-fricative-labialized	ʝʷ
yod/o-long	ioː		updated from joː
yod/o-mid	io̞		updated from jo̞
j/n-palatal	ɟɲ
j-palatalized	ɟʲ
yod/e-dot	iɘ		updated from jɘ
yod/epsilon	iɛ		updated from jɛ
yod/e-mid	ie̞		updated from je̞
yod/e-nasalized	iẽ		updated from jẽ
yod/e	ie		updated from je
yod/ash	iæ		updated from jæ
yod/a	ia		updated from ja
j-long	ɟː
yod-long-nasalized	j̃ː
yod-long	jː
j-palatoalveolar-unreleased	ɟ̟̚
j-fricative-nasalized	ʝ̃
j-creaky voice	ɟ̰
j-fricative	ʝ
yod-creaky voice-nasalized	j̰̃
j-palatoalveolar	ɟ̟
yod-glottalized	jˀ	j̰
yod-creaky voice	j̰
yod-voiceless	j̥
j-implosive	ʄ
j	ɟ
yod-nasalized	j̃
yod-over-short	j̆
yod	j
i/yod	ii̯	ij	the non-syllabic marker is used to indicate the glideness of the vowel symbol
iota/yod	ɪi	ɪj
iota/iota-glide-backed	ɪɪ̠̯
iota/i	ɪi
i/schwa-glide	iə̯
iota/schwa-glide	ɪə̯
iota/schwa	ɪə
i/a-glide	ia̯
i-bar-long-retroflexed	ɨ˞ː
i-creaky voice-long	ḭː
iota-creaky voice-long	ɪ̰ː
i-voiceless-long	i̥ː
i-breathy voice-long	i̤ː
i-long-backed	i̠ː
iota-long-backed	ɪ̠ː
i-long-retracted	i̙ː
i-bar-long-nasalized	ɨ̃ː
i-bar-long	ɨː
i-long-nasalized	ĩː
iota-long-nasalized	ɪ̃ː
iota-bar-long	ɪ̈ː
i-long	iː
iota-long	ɪː
i-bar-voiceless-retroflexed	ɨ̥˞
iota-glide-voiceless	ɪ̥̯
i-bar-retroflexed	ɨ˞
iota-retroflexed	ɪ˞
i-retroflexed	i˞
i-half-long	iˑ
i-bar-creaky voice	ɨ̰
i-creaky voice-nasalized	ḭ̃
i-bar-voiceless	ɨ̥
i-bar-backed	ɨ̠
i-bar-fronted	ɨ̟
iota-voiceless-over-short	ɪ̥̆
i-voiceless-over-short	ĭ̥
i-creaky voice	ḭ
iota-creaky voice	ɪ̰
iota-glide	ɪ̯
iota-voiceless	ɪ̥
i-voiceless	i̥
iota-breathy voice	ɪ̤
i-backed	i̠
iota-backed	ɪ̠
iota-retracted	ɪ̙
i-bar-nasalized	ɨ̃
i-bar-over-short	ɨ̆
i-over-short-nasalized	ĭ̃
iota-bar-nasalized	ɪ̈̃
iota-bar-over-short	ɪ̈̆
i-bar	ɨ
i-nasalized	ĩ
iota-nasalized	ɪ̃
iota-over-short	ɪ̆
i-over-short	ĭ
iota-bar	ɪ̈
i	i
iota	ɪ
h-voice-labiovelarized	ɦʷˠ
pharyngeal-voiceless-labialized	ħʷ
h-labialized-nasalized	h̃ʷ
h-labialized	hʷ
t/s-preaspirated-long	ʰtsː
t/s-preaspirated	ʰts
t-preaspirated-long	ʰtː
t-preaspirated-half-long	ʰtˑ
t-preaspirated	ʰt
q-preaspirated	ʰq
p-preaspirated-long	ʰpː
p-preaspirated-half-long	ʰpˑ
p-preaspirated	ʰp
k-preaspirated-labialized	ʰkʷ
k-preaspirated-long	ʰkː
k-preaspirated-half-long	ʰkˑ
k-preaspirated	ʰk
h-voice-palatalized	ɦʲ
h-nasalized-palatalized	h̃ʲ
h-palatalized	hʲ
h-voice-velarized	ɦˠ
pharyngeal-voiceless-long	ħː
h-long	hː
w-front-voiceless	ɥ̥
w-front-nasalized	ɥ̃
w-front	ɥ
h-voice-nasalized	ɦ̃
h-voice	ɦ
pharyngeal-voiceless	ħ
h-nasalized	h̃
h	h
g-postglottalized	ɡˀ	ɡʔ
g-labialized-syllabic	ɡ̩ʷ
g-breathy voice-labialized	ɡ̤ʷ
gamma-labialized-nasalized	ɣ̃ʷ
g-labialized	ɡʷ
g-labiovelarized	ɡʷˠ
e-trema/w	ɤu	ɤw
gamma-labialized	ɣʷ
q-voice-labialized	ɢʷ
q-voice/gamma-uvular	ɢʁ
g/eng	ɡŋ
g-nasal-release	ɡⁿ
e-trema/yod-trema	ɤɰ
g-prevelar-palatalized	ɡ̟ʲ
gamma-prevelar-palatalized	ɣ̟ʲ
g-palatalized	ɡʲ
gamma-palatalized	ɣʲ
q-voice-palatalized	ɢʲ
g/gamma	ɡɣ
e-trema/e	ɤe
g/b-syllabic	ɡb̩
g/b	ɡb
e-mid-trema-long-nasalized	ɤ̞̃ː
g-long-pharyngealized	ɡˤː
g-breathy voice-long	ɡ̤ː
e-mid-trema-long	ɤ̞ː
e-trema-long-nasalized	ɤ̃ː
g-long	ɡː
e-trema-long	ɤː
q-voice-long	ɢː
gamma-half-long	ɣˑ
e-mid-trema-nasalized	ɤ̞̃
e-mid-trema-over-short	ɤ̞̆
g-creaky voice	ɡ̰
g-syllabic	ɡ̩
gamma-syllabic	ɣ̩
g-breathy voice	ɡ̤
